unittitle,function,ID
"Burgues, Sieur de",Personne,P1474
"Bury, Jacques",Personne,P1477
"Busnot, Marie",Personne,P1479
"Bussac, Demoiselles de",Personne,P1482
But,Personne,P1487
"Cabanac, Sieur de (alias Cabanat)",Personne,P1549
Cabèce,Personne,P1558
Caillau,Personne,P1573
"Caillières, de",Personne,P1580
Candé,Personne,P1620
Candezze,Personne,P1619
Cannet,Personne,P1623
Capiau,Personne,P1629
"Cardaillac, Le chevalier de",Personne,P1636
Carré,Personne,P1661
Cartereau (alias Cartreau),Personne,P1663
"Cartigny, de",Personne,P1666
Carton,Personne,P1668
"Carzon, François",Personne,P1672
"Cassel, Fleury du",Personne,P1677
Castain (alias Castaing),Personne,P1681
"Castaing, François",Personne,P1684
"Castigny, Sieur de (ou Cartigny)",Personne,P1690
Catalan,Personne,P1696
"Caumartin, Louis-Urbain de",Personne,P1702
Caumont,Personne,P1703
"Cazaus, de",Personne,P1727
Cazeville,Personne,P1732
Ceberet,Personne,P1733
"Chaban, Sieur de",Personne,P1743
Chabert,Personne,P1751
Chabot,Personne,P1757
"Chadefeau, Antoine",Personne,P1768
Chaigneau,Personne,P1773
Chaillaud,Personne,P1774
Chaillé,Personne,P1777
Chaintreau,Personne,P1780
Chaix,Personne,P1781
"Chalais, Le chevalier de",Personne,P1783
"Chalumeau, Veuve",Personne,P1791
Chamblé,Personne,P1797
"Chambon, Galien de",Personne,P1798
"Chamillart, Le chevalier de",Personne,P1804
"Champigny, de",Personne,P1824
"Champmeslin, de",Personne,P1833
Chanlatte,Personne,P1840
"Chanvry, Antoine",Personne,P1849
Chapotot,Personne,P1864
Charitte,Personne,P1881
Charles,Personne,P1887
Charonnier,Personne,P1913
Charrier,Personne,P1920
"Charrières, de",Personne,P1925
Charrin,Personne,P1924
"Charron de Salles, Le sieur de",Personne,P1927
"Chasseloup, Demoiselle",Personne,P1935
Chasteauneuf,Personne,P1950
"Chastelain, Dame",Personne,P1955
"Chastillon, Sieur de",Personne,P1968
"Chateaufort, Sieur de",Personne,P1975
"Chateauguillaume, Sieur de",Personne,P1978
"Chateaumorant, de",Personne,P1982
chateauneuf,Personne,P9819
"Chateaurenault, François-Louis Rousselet",Personne,P1988
"Chatellaillon, M. de",Personne,P1994
"Chaulnes, M. de",Personne,P2004
Chaumel,Personne,P2005
Chauveau,Personne,P2011
"Chauvet, François",Personne,P2024
"Chavagnac, de",Personne,P2036
Chaviteau,Personne,P2044
"Chaviteau, Jacques",Personne,P2046
Cheise,Personne,P2053
Chenevois,Personne,P2057
Cheroutel,Personne,P2062
"Cheury, Marquis de",Personne,P2069
Chevalier,Personne,P2073
"Chevreuse, Duc de",Personne,P2097
"Chevrières, sieur de",Personne,P2100
"Chevry, Marquis de",Personne,P2101
Chezant,Personne,P2105
"Ciré, Marquis de",Personne,P2161
Clairambault,Personne,P2165
Clairau,Personne,P2166
Clairville,Personne,P2171
"Clancy, de",Personne,P2175
Claverie,Personne,P2187
"Clérac, Sieur de",Personne,P2215
Clercau,Personne,P2193
Clereau,Personne,P2194
"Cloche, Le Père",Personne,P2209
Coderk,Personne,P2225
"Coëtlogon, Le chevalier de",Personne,P2452
Coigné,Personne,P2238
Colardeau,Personne,P2241
Colbert de Terron,Personne,P2245
Colineau,Personne,P2250
"Combes, Sieur de",Personne,P2262
Compagnon,Personne,P2270
Comte,Personne,P2275
"Conteneuil, Sieur de",Personne,P2298
"Contre, de",Personne,P2300
"Contreblénac, de",Personne,P2301
Corbineau,Personne,P2314
"Cordemoy, L'abbé de",Personne,P2317
Cordier,Personne,P2319
Corlieu,Personne,P2323
Cormier,Personne,P2325
"Costebelle, Sieur de",Personne,P2344
Cotreau,Personne,P2347
Coulomb,Personne,P2361
Coulombe,Personne,P2363
Coulonge,Personne,P2369
"Courbasson, Sieur de",Personne,P2375
"Courbon Saint-Léger, M. de",Personne,P2381
"Courbon, M. de",Personne,P2383
"Courserat, de",Personne,P2408
Courtin,Personne,P2415
"Courtin, Les sieurs",Personne,P2418
"Courtois, Denis",Personne,P2421
Coustan,Personne,P2429
"Couyer des Palus, Demoiselle",Personne,P2449
"Coyer, Demoiselle",Personne,P2450
Cramahé,Personne,P2454
Crammé,Personne,P2455
"Cravoy, de",Personne,P2459
"Creil, de",Personne,P2461
"Crepaut, Maurice",Personne,P2466
"Croissy, Charle-Joachim Colbert de",Personne,P2478
Cromel,Personne,P2481
"Culant, Sieur de",Personne,P2499
"D'Ableiges, , Gilles-François de Maupeou",Personne,P2509
D'Aguerre,Personne,P2514
D'Aigrefin,Personne,P2517
"D'Ailly, Le chevalier",Personne,P2520
D'Aligre,Personne,P2527
D'Ally,Personne,P2529
D'Almeras,Personne,P2530
D'Amblymont,Personne,P2533
"D'Amblymont, Claude Renart de Fuchsamberg",Personne,P2534
D'Amfreville,Personne,P2535
"D'Amont, Le chevalier",Personne,P2536
D'Arangy,Personne,P2548
"D'Arbouville, Le chevalier",Personne,P2550
D'Argenson,Personne,P2552
D'Armenonville,Personne,P2553
D'Armonville,Personne,P2554
"D'Arquien, Comte (alias D'arquian)",Personne,P2557
"D'Aubterre, M. le Comte",Personne,P2567
"D'Aulnay, Comte",Personne,P2570
"D'aume, Jean",Personne,P2648
"D'Auyau, des Fougères",Personne,P2574
D'Auzun,Personne,P2575
"D'esguillon, Marie-Thérèse de Vignerot",Personne,P2650
"D'Esragny, Le Marquis",Personne,P2597
"D'Estrées, Jean",Personne,P2601
"D'Estrées, L'abbé",Personne,P2602
"D'Estrées, Le Maréchal",Personne,P2603
D'Eury,Personne,P2607
D'Harbouville,Personne,P2608
"D'Harcourt, Marquis",Personne,P2609
D'Hautefort,Personne,P2612
D'Herbigny,Personne,P2616
D'Iberville,Personne,P2623
"D'Infreville, Le chevalier",Personne,P2628
