unittitle,function
Gacherie,Personne
"Gachinard, Jean",Personne
"Gadeuille, M. de",Personne
Gagemont,Personne
Gagny,Personne
"Gaillard, Rey",Personne
Galibert,Personne
"Galliffet, le chevalier de",Personne
Gallut,Personne
Galot,Personne
Ganeau,Personne
Garbuzard,Personne
Garet,Personne
"Gaspard de Aredonde, Don",Personne
"Gassion, sieur de",Personne
Gastineau,Personne
"Gastines, sieur de",Personne
"Gaubertin, sieur de",Personne
Gauldray,Personne
"Gaulette, Louis",Personne
"Gautreau, veuve",Personne
"Gennes, M. de",Personne
Gentil (alias Genty),Personne
Georget,Personne
"Gervaise, Nicolas",Personne
Gestard de Russigny,Personne
Gibouleau,Personne
Gilbert,Personne
Gilbon,Personne
"Gillet, Claude-Joseph",Personne
Gillis,Personne
Giraldin,Personne
Giraudet,Personne
"Giraut (alias Girault), Jacques",Personne
Girier,Personne
Girval,Personne
Gitton,Personne
Godin,Personne
"Goilard, Jeanne",Personne
Goizeau,Personne
"Gomerville, sieur de",Personne
"Gonnelieu, sieur de",Personne
Goulet de Brevannes,Personne
Gouyon de Verigny,Personne
"Grabeil, Pierre",Personne
"Grammont, duc de",Personne
Grandmaison d'Offeil,Personne
"Grange, M. de (Voir Degrange)",Personne
"Granville, sieur de",Personne
Gray,Personne
Grégoireau,Personne
"Grelier, Pierre",Personne
"Grenier, le chevalier",Personne
Grenot,Personne
"Gresseau, l'abbé",Personne
Grey,Personne
Griel,Personne
Grignon,Personne
Gril,Personne
"Grimonville, sieur de",Personne
"Grosbois, M. de",Personne
"Grouchy, sieur de",Personne
"Gruel, fils",Personne
Guenon,Personne
Guenon de Fontbernard,Personne
Guérin,Personne
"Guérineau, Daniel",Personne
"Guérineau, Jacques",Personne
Guérinet,Personne
Guichard (alias Guichart),Personne
"Guichard, veuve",Personne
Guichot,Personne
"Guignonville, sieur de",Personne
"Guillemont, dame",Personne
"Guillot, Marc",Personne
"Guillot, Marguerite",Personne
"Guillot, Moyse et Pierre",Personne
Guillotin,Personne
"Guillotin, Jean",Personne
"Guimbail, Gabriel de",Personne
"Guitard, sieur de",Personne
Guybeguyer de La Coste,Personne
"Hamel, Pierre",Personne
Hardin,Personne
Hardouineau,Personne
"Hardy, Pierre",Personne
Hatry,Personne
"Haudry De Villeson, veuve",Personne
Hazeur,Personne
Hease,Personne
Hébert,Personne
"Hehir, Pierre",Personne
"Héraud, Etienne",Personne
Hérault,Personne
"Hoin, Jean",Personne
Houdart,Personne
Houdin,Personne
Huet de la Poirière,Personne
Hugier,Personne
Huon,Personne
"Hurtaud, Anne",Personne
Imbert,Personne
Itasse,Personne
Jamet,Personne
Jean,Personne
"Jean, sieur de",Personne
Joanin,Personne
Jonchée,Personne
"Joncoux, sieur de",Personne
Josselin de Marigny,Personne
Jouanez,Personne
"Joue, sieur de",Personne
"Jousse, Mathieu",Personne
Joussemet,Personne
Joussemet (alias Joussenet),Personne
"Joyeux, Charles",Personne
Julliard,Personne
Jullineau,Personne
Jupin,Personne
"L'Ecole, sieur de",Personne
"L'Epinay, sieur de",Personne
"L'Etenduère, sieur de",Personne
"L'Hommée de la Rochefoucault, dame Madeleine",Personne
L'Hostelier,Personne
"L'Hostelneau, sieur de",Personne
"La Boularderie, sieur de (alias La Boulardière)",Personne
"La Clocheterie, Chadeau de, Isaac (note page 324)",Personne
La Galisonnière,Personne
"La Harteloire, sieur de",Personne
"La Hautemaison, sieur de",Personne
La Lande,Personne
La Motte d'Ayran (alias Deyran),Personne
"La Motte-Michel, sieur de",Personne
"La Rigaudière, sieur de",Personne
"La Roche Courbon, le marquis de",Personne
"La Voix-Basse, Mme de",Personne
"Labande, Jean de",Personne
"Labastide, M. de",Personne
"Labat, Gaston de",Personne
"Labat, sieur de",Personne
Labatut,Personne
"Labeyrie, sieur de",Personne
"Lablinière, sieur de",Personne
"Labrosse, sieur de",Personne
"Labroue, sieur de",Personne
"Labuxière, sieur de",Personne
"Lacaillère, sieur de",Personne
"Lachaasse, sieur de",Personne
Lachapelle Rihal,Personne
"Lachapelle, sieur de",Personne
"Lacloserie, sieur de",Personne
"Lacoste, sieur de",Personne
"Lacoudraye, sieur de",Personne
"Lacouture, sieur de",Personne
"Lacroix, Marie de",Personne
"Lacroix, sieur de",Personne
Ladoüe,Personne
"Lafalconnière, sieur de",Personne
"Lafenestre, sieur de",Personne
"Laferrière, M. de",Personne
"Lafeuillade, M. de",Personne
"Lafillière, sieur de",Personne
"Lafont de Maigne, sieur de",Personne
"Lafontaine de la Légence, sieur de",Personne
"Laforest, Mme de",Personne
"Laforest, sieur de",Personne
"Lafrégonnière, sieur de",Personne
"Lafrézelière, F. de",Personne
"Lagarde, veuve",Personne
"Lagautrais, sieur de",Personne
"Lagny, sieur de",Personne
"Lagord, Mathieu",Personne
"Laguerche, demoiselle",Personne
Lagus,Personne
"Lahante, Mme de",Personne
Lahaye,Personne
Lalande Saint-Estienne,Personne
"Lalanne, sieur de",Personne
"Lamadeleine, M. de",Personne
"Lamarre, Don Juan de",Personne
"Lamartinie, sieur de",Personne
"Lamirande, sieur de",Personne
"Lamolerie, sieur de",Personne
"Lamotte, sieur de",Personne
Landriau,Personne
"Langlade, sieur de",Personne
"Langloiserie, M. de",Personne
"Lannion, le chevalier de",Personne
"Lapeaudière, sieur de",Personne
"Laperrière, sieur de",Personne
"Lapigeonnière, sieur de",Personne
"Lapoterie, Mme de",Personne
"Lapoterie, sieur de (alias La Potherie)",Personne
"Laravoye, Mme de",Personne
Lardreau,Personne
"Larerye, sieur de ",Personne
"Large, François",Personne
Laribaudière,Personne
"Larochalar, sieur de",Personne
"Laroche Hercule, M. de",Personne
"Laroche Saint-André, M. de",Personne
"Laroche Sainte-Hermine, M. de",Personne
"Laroche, M. de",Personne
"Larogue, sieur de",Personne
"Laronde, sieur de",Personne
"Laroque, M. de",Personne
"Laroquepersin, sieur de",Personne
"Larougerie, Paul",Personne
"Larsel, Jean",Personne
"Larteloire, M. de",Personne
"Laruffinière, sieur de",Personne
"Lasaintrie, veuve de",Personne
"Lasalle des Gouttes, sieur de",Personne
"Lasalle Vaumondois, M. de",Personne
"Lasalle, sieur de",Personne
"Lasausaye, sieur de",Personne
"Lasson, le jeune",Personne
"Lathévinière, sieur de",Personne
"Latour, sieur de",Personne
"Latraverserie, sieur de",Personne
"Latrimouille, duc de",Personne
Laudreau (alias Landreau),Personne
"Launay, sieur de",Personne
"Laval-Montmorency, sieur de",Personne
"Lavie, sieur de",Personne
"Lavigerie, sieur de",Personne
"Lavillebagne, sieur de",Personne
"Lavogadre, sieur de",Personne
"Lavrillière, M. de",Personne
Lebert,Personne
Leblond de Saint-Hilaire,Personne
Leboeuf,Personne
Leborgne du Coudray,Personne
Leboucher,Personne
Lecomte,Personne
Leduc,Personne
Lefèvre d'Albon,Personne
Lejeard,Personne
Lemercier,Personne
Lempereur,Personne
Lenain,Personne
Lepage,Personne
Lepeletier,Personne
Lepeletier des Forts,Personne
Lepers,Personne
"Lescolle, sieur de",Personne
Lesnier,Personne
Lesselin,Personne
"Lesteau, le père apollinaire",Personne
Lestoffé,Personne
Lestrier,Personne
Lesueur,Personne
Letellier,Personne
Levesque,Personne
"Libon, dame",Personne
"Lignières-Saint-Pompin, sieur de",Personne
"Lille, M. de",Personne
"Linières, Dillerin de",Personne
"Lisleau, sieur de",Personne
"Lislefort, sieur de",Personne
"Livernan, sieur de",Personne
"Logivière, M. de",Personne
"Loire, marquis de",Personne
Lombard,Personne
Lomet,Personne
"Longchamps, sieur de",Personne
"Lorges, comte de",Personne
"Lostange, sieur de",Personne
Lostelneau,Personne
Lotte,Personne
Loube,Personne
Louet,Personne
"Louvigny, sieur de",Personne
Louvois,Personne
"Lubert, M. de",Personne
Lucas,Personne
Ludet,Personne
"Lusançay, M. de",Personne
"Lusignan, sieur de",Personne
"Luxillo (alias Luxello), Antonio",Personne
Maccart,Personne
"Machault, M. de",Personne
"Magon, Jean",Personne
Mahy,Personne
"Mailloc, marquis de",Personne
"Mailly, comtesse de",Personne
"Maistre, Jean",Personne
"Malestre, sieur de",Personne
"Mallet, Honoré",Personne
"Mallet, la nommée",Personne
"Malville, sieur de",Personne
"Mannevillette, sieur de",Personne
"Marchais, Daniel",Personne
"Marchand, Nicolas",Personne
Mariani Dandrea,Personne
Mariany,Personne
"Marigny, le chevalier de",Personne
"Marigny, sieur de",Personne
"Marillac, sieur de",Personne
Marillet,Personne
"Mariol, dame de",Personne
"Marson, dame de",Personne
Martel,Personne
Martinet,Personne
"Marville de Maridon, sieur de",Personne
"Massé, Etienne",Personne
"Massé, J.",Personne
Massy,Personne
Mathé de Boislandry,Personne
Maubert,Personne
Mauchan,Personne
"Mauclars, sieur de",Personne
"Mauclerc, sieur de",Personne
Mauconduit,Personne
Maugeron,Personne
"Maupeou, sieur de ",Personne
"Maurville, sieur de",Personne
Mauvillan,Personne
Maynon,Personne
"Meilleraye, duc et duchesse de",Personne
"Mejorada, marquis de",Personne
"Melon, Jérémie",Personne
"Meneguerre, Jean",Personne
"Menevillette, sieur de",Personne
"Mercy, sieur de",Personne
"Merelle, Georges",Personne
Meschin,Personne
"Meslin, Pierre",Personne
"Messières, le chevalier de",Personne
Methuez,Personne
Mettifeu,Personne
"Mezières, sieur de",Personne
Milieu,Personne
Millon,Personne
Milon,Personne
Mineau,Personne
Minet,Personne
Mirail (alias Miral),Personne
Mison,Personne
Mobillon,Personne
Moine,Personne
"Mollandon, sieur de",Personne
"Monbarrot, sieur de",Personne
"Mondeau, Jean",Personne
"Mondens, sieur de",Personne
"Mongeron, sieur de",Personne
Monier,Personne
"Montaigut, sieur de",Personne
"Montargis, M. de",Personne
Montaudouin,Personne
"Montbail, sieur de",Personne
"Montbarrot, sieur de",Personne
"Montbault, sieur de",Personne
"Montboileau, sieur de",Personne
"Montchevreuil, le chevalier de",Personne
Montègue,Personne
"Montgrué, sieur de",Personne
Montplaisir,Personne
"Montrevel, maréchal de",Personne
Montus (alis Motus),Personne
"Mony, sieur de",Personne
"Moras, sieur de",Personne
Mordan d'Héricout,Personne
Moreau Duderon,Personne
"Moreau, François",Personne
"Moreau, Jacques",Personne
Moret,Personne
Moricet,Personne
"Morin, Jean",Personne
"Morisseau, demoiselle",Personne
Moriveau,Personne
"Mortagne, M. de",Personne
"Mortemart, Mme de",Personne
Mosny,Personne
"Motelly, Mme de",Personne
"Mothes, sieur de",Personne
"Motheux, sieur de",Personne
Mottemand,Personne
"Motus (alis Montus), François",Personne
Mouffle,Personne
"Moulineaux, sieur de",Personne
"Moulinneuf, sieur de",Personne
Mounier,Personne
"Mounier, Etienne",Personne
Mourcau,Personne
"Moyencourt, M. de",Personne
"Moyencourt, Mme de",Personne
"Nadot, Jean",Personne
"Nau, Pierre",Personne
"Naudin, Marianne",Personne
Naurays,Personne
"Nebout, veuve",Personne
"Nectous, sieur de",Personne
"Nemours, duchesse de",Personne
"Nesmond, le chevalier de",Personne
"Neutelle, sieur de",Personne
Neuvenne,Personne
Neys,Personne
Niel,Personne
"Nivert, Henry",Personne
"Noel, Edouard",Personne
Norays,Personne
Olivier,Personne
"Ollivier, J.",Personne
Orry,Personne
Pacaud,Personne
"Pagez, Th.",Personne
"Paille, baron de",Personne
Pajot,Personne
Parielle,Personne
"Pascal, François",Personne
Pascaud,Personne
Pasdejeu,Personne
"Pasdejeu, Mme de",Personne
Paty,Personne
Pautras,Personne
Peccarer,Personne
"Pelletant, Timothée",Personne
"Pensens, sieur de",Personne
Perdriau,Personne
"Péré, Samuel",Personne
"Peredos, M. de",Personne
Périgny,Personne
Périgny Legoux,Personne
"Périgny, sieur de",Personne
Perotier,Personne
"Perrin, Joseph",Personne
"Perrinet, Mme de",Personne
"Perrinet, sieur de",Personne
"Perrot, le chevalier",Personne
Perroteau,Personne
"Persin, sieur de",Personne
Petit (note page 324),Personne
Petit de Boiselle,Personne
Petiteau,Personne
Petitmoulin,Personne
"Petitval, sieur de",Personne
"Phelipaux, Pierre",Personne
Philipe,Personne
Philippon,Personne
"Piau, Marie-Anne",Personne
Picard,Personne
Pichon de Lagord,Personne
"Pierrot, dit Champagne",Personne
Pigny,Personne
Pillart,Personne
Pinon,Personne
"Pinto, le père",Personne
"Pirolle, la dame",Personne
Pochonnet,Personne
Pointel,Personne
"Poirel, veuve",Personne
"Poléon, baron de, de Poléon",Personne
"Polignac, comte de",Personne
Pollard,Personne
"Pons, sieur de",Personne
"Pontac, sieur de",Personne
Pontchartrain,Personne
"Pontmarois, sieur de",Personne
"Pontperedo, Mme de",Personne
"Poudenx, M. de",Personne
Poulain,Personne
Pouliat,Personne
"Pradines, sieur de",Personne
Prevost,Personne
"Priou, Pierre",Personne
Prudhomme,Personne
"Prunet, Toinette",Personne
"Pulmon, M. de",Personne
"Putigny, le chevalier de",Personne
"Puybalon, dame de",Personne
"Quintart, Pierre",Personne
Rabion,Personne
Racyne,Personne
Raffin,Personne
Rambaud,Personne
Rambault,Personne
"Rambault, frères",Personne
"Rambures, sieur de",Personne
"Ramezay, sieur de",Personne
"Ranary, sieur de",Personne
"Raoul, Marie",Personne
Raudot,Personne
Ravaux,Personne
Regnault,Personne
Regnier,Personne
"Regnier, M. de",Personne
Remy,Personne
"Rémy, veuve",Personne
"Renaudeau, Mathurin",Personne
"Renouleau, Jacques",Personne
Revel,Personne
"Reverend, Antoine",Personne
"Reynier, sieur de",Personne
Ribault,Personne
"Ricouart, sieur de",Personne
"Ricous, M. de",Personne
Robion,Personne
"Roderic, sieur de",Personne
"Rodon, sieur de",Personne
Roger,Personne
Rolland,Personne
"Roquebrune, sieur de",Personne
"Roquefort, sieur de",Personne
Rothon,Personne
Rouaud (alias Rouault),Personne
"Rouey, le chevalier de",Personne
Rouillé du Coudray,Personne
Roulleau,Personne
"Rousine, Jean",Personne
"Roussel, M. de",Personne
"Roussel, sieur de",Personne
Rousselot,Personne
"Rouvroy, le marquis de",Personne
"Roze, Marguerite",Personne
Rozier,Personne
"Ruis, sieur de",Personne
"Ryan, Guillaume",Personne
"Sabrevois, comte de",Personne
"Saccardi, sieur de",Personne
Saint-Abre,Personne
Saint-Amant,Personne
"Saint-André, sieur de",Personne
"Saint-Aubin, sieur de",Personne
Saint-Aulaire,Personne
"Saint-Castain, sieur de",Personne
Saint-Germain,Personne
"Saint-Hermine, sieur de",Personne
"Saint-Hilaire, M. de",Personne
"Saint-Hubert, sieur de",Personne
Saint-Jean,Personne
"Saint-Jean, sieur de",Personne
"Saint-Julien, sieur de",Personne
"Saint-Légier La Sauzaye, sieur de",Personne
"Saint-Macary, sieur de",Personne
"Saint-Mar, Colbert de",Personne
Saint-Marc,Personne
"Saint-Mars, sieur de",Personne
Saint-Meloir,Personne
Saint-Michel,Personne
"Saint-Michel, sieur de",Personne
Saint-Pierre-Levée,Personne
"Saint-Sauveur de Torigny, sieur de",Personne
"Saint-Sulpice, sieur de",Personne
"Saint-Vandrille, sieur de",Personne
"Saint-Victour de Senectère, M. et Mme de",Personne
"Sainte-Marie, sieur de",Personne
"Salagnac, sieur de",Personne
"Salampart, sieur de",Personne
Saleman,Personne
Samson,Personne
"Samzé-Crissé, sieur de",Personne
"Sanois Maupertuis, sieur de",Personne
Sanson (alias Samson),Personne
Santeigue,Personne
"Sarry, sieur de",Personne
"Saumery, le chevalier de",Personne
Saupin,Personne
"Sauvolle, M. de",Personne
"Savary, Melle",Personne
Savigny de la Méraudière,Personne
"Savonnières, sieur de",Personne
"Sconhel, sieur de",Personne
"Segonzac, sieur de",Personne
"Seguier de Liaucourt (alias Seiguier, ou Seguyer)",Personne
Senat,Personne
"Sérigny, sieur de",Personne
"Sérillac de Saint-Abre, sieur de",Personne
"Serville, sieur de",Personne
Soissons,Personne
Sorel,Personne
Sorillet,Personne
"Sossiondo, sieur de",Personne
"Soubise, le prince de",Personne
Soubras,Personne
Souchet,Personne
"Sourdis, Mme la marquise de",Personne
Sourisseau (alias Souriceau),Personne
"Strole, Jacques",Personne
"Subercase, M. de",Personne
Suchet,Personne
"Surgères, le chevalier de",Personne
Surget,Personne
Taillis,Personne
"Talleyrand, comte de",Personne
Teinville,Personne
"Tenüel, Martel de",Personne
"Terville, sieur de",Personne
"Tessereau, dame",Personne
Tessier (alias Texier),Personne
"Thévenin, l'aîné",Personne
"Thévenot, Etienne",Personne
Thibaud de la Ruffinière,Personne
"Thibaudeau, René",Personne
"Thierry, frères",Personne
Thilorier,Personne
Thirat,Personne
Thomas Valasse,Personne
Thomassin,Personne
Thomazou (alias Thomaseau),Personne
"Tierceville, sieur de",Personne
"Tigné, sieur de",Personne
"Tilly, sieur de",Personne
"Tiphaneau, Fiacre",Personne
"Tirac (alias Tirat), M. de",Personne
Tolentin,Personne
"Toraille, sieur de",Personne
"Torcy, marquis de",Personne
Torterue Bonneau,Personne
"Touchimbert, sieur de",Personne
"Toulouse, comte de",Personne
"Toulouze, veuve",Personne
"Tournois, Nicolas",Personne
"Tourouvre, sieur de",Personne
Tourton,Personne
Trébuchet,Personne
"Tresaguet, sieur de",Personne
Triboudet,Personne
Tronchot (alias Du Tronchot),Personne
"Turceuille, sieur de",Personne
"Valles, sieur de",Personne
Vallet,Personne
"Valmenière, sieur de",Personne
"Van Walendal, Jacob",Personne
"Vandremer, Mme",Personne
"Vandrille, sieur de",Personne
"Vanolles, M. de",Personne
"Vassoigne, M. de",Personne
"Vauban, maréchal de",Personne
"Vaucresson, M. de",Personne
"Vaudreuil, sieur de",Personne
Vaugour,Personne
"Vaujoux, sieur de",Personne
"Vaulezard, sieur de",Personne
Vedeau,Personne
Veillon,Personne
Venaud,Personne
"Venise, sieur de",Personne
Verdale,Personne
Vergier,Personne
"Verneuil, sieur de",Personne
"Vernoix, sieur de",Personne
Véronneau,Personne
Vialis,Personne
"Viart, fils",Personne
"Viaux, Jean",Personne
"Vienne, sieur de",Personne
"Villadarias, marquis de",Personne
"Villautray, sieur de",Personne
Villedeau (alias Villedo),Personne
"Villedoux, dame de",Personne
Villeneuve des Bernardières,Personne
"Villennes, sieur de",Personne
"Villette, le chevalier de",Personne
"Villette, marquis de",Personne
"Villiers, sieur de",Personne
"Villoray, Almin",Personne
Vivive,Personne
"Volcart, François",Personne
"Volezard, sieur de",Personne
Volivert,Personne
"Vougny, sieur de",Personne
Voyé,Personne
"Vrévin, M. de",Personne
"Wesenaghen, Jean",Personne
Yon,Personne
"Yvon, Paul",Personne
"Zell, duc de",Personne
"Abraham, Guillaume",Personne
"Abramé, Michel",Personne
Accault,Personne
Adumeaux ,Personne
Agoult,Personne
"Aguerro, don Mattéo de",Personne
"Albert, demoiselle",Personne
"Alègre, Henry",Personne
Allain,Personne
"Allain, Louis",Personne
Allaire,Personne
"Allard, Hector",Personne
"Allenet, Pierre",Personne
"Allenet, Zacharie",Personne
Almain,Personne
Amant,Personne
Amant de Villeserni,Personne
Amariton,Personne
"Amblard, Jean",Personne
Amelot,Personne
"Amiant, Daniel",Personne
Amyot,Personne
"André, Pierre dit Feytins",Personne
"Angaud, Armand",Personne
Anselin,Personne
Arnaud de Courville,Personne
"Arnaud, François",Personne
"Arnauld, Félix",Personne
"Arnauld, François",Personne
"Arnauld, le jeune",Personne
Artigue,Personne
Artus,Personne
"Astrin, Antoine",Personne
Aubert,Personne
Aubert de Fouillon,Personne
Aubert de la Chesnaye,Personne
Aubert Néret,Personne
"Aubert, Louis",Personne
"Aubeuf, marquis de",Personne
"Audard, veuve",Personne
"Audiffret, veuve",Personne
"Audoin, Louis ",Personne
"Audurier, Jean",Personne
"Auger, André",Personne
"Auger, dame",Personne
"Aurain, Pierre-François",Personne
"Auroy, Jean",Personne
"Aury, Mathieu",Personne
Ausour,Personne
Autefaud,Personne
Auvry,Personne
Auzan,Personne
Avice de Serrigny,Personne
"Avril, alias Apvril",Personne
"Babinot, Gédéon",Personne
Babot,Personne
Baccot,Personne
Bachelet,Personne
Bailly,Personne
Bailly de Saint Marc,Personne
Balanzac,Personne
"Baligny, Etienne",Personne
"Balland, Zachée",Personne
Ballouart,Personne
"Banse, veuve",Personne
"Baraguet, dame",Personne
Baranger,Personne
"Barassy, alias Barassis",Personne
"Barateau, Jean",Personne
"Barbeau, François",Personne
"Barbeau, Marie",Personne
"Barbereau, François",Personne
Barbier,Personne
Barbot de Buzet,Personne
"Barbot, Jean",Personne
Barciet,Personne
Bardou Deshayes,Personne
"Bardou, Louis",Personne
Bargeau,Personne
"Barillet, Thomas",Personne
Baron,Personne
Baron de Pallie,Personne
"Baronneau, Benoit",Personne
Barrailh,Personne
Barrière,Personne
"Barrière, marquis de",Personne
Bastard,Personne
Basterot,Personne
Bastide,Personne
Bastre,Personne
Baudoin,Personne
"Baudoin, Jean-Baptiste",Personne
Baudrand,Personne
"Baudy, Martin",Personne
Bauquet,Personne
Bazile,Personne
Beaubuisson,Personne
"Beauchaille de Lafargue, mademoiselle",Personne
Beauchesne,Personne
"Beauharnais, chevalier de",Personne
"Beauharnais, monsieur de",Personne
Beaulieu ,Personne
"Beaulieu, de",Personne
"Beaumanoir, de",Personne
"Beaumarais, de",Personne
"Beaumont-Jauvelle, veuve",Personne
"Beaumont, de",Personne
"Beauregard d'Estienne, de",Personne
"Beauregard, de",Personne
Beausire,Personne
"Beauve, de",Personne
Beauveau-Forest,Personne
Beauvilain,Personne
"Beauville, sieur de ",Personne
"Beauvilliers, duc de",Personne
Beauvoisin,Personne
Bécheu,Personne
Becot,Personne
Bedoy,Personne
Bégasseau dit Saintonge,Personne
"Belat, Pierre",Personne
Belié,Personne
"Belin, Jean",Personne
"Belin, Orzée",Personne
"Bellarbre, monsieur de",Personne
Bellefond,Personne
Bellier,Personne
Bellion,Personne
Belliveau,Personne
Bellot,Personne
"Belmont, sieur de",Personne
"Belsunce, chevalier de",Personne
Benezet,Personne
Benoist dit Saint Romain,Personne
"Béraud, Etienne, sieur de la Picoderie",Personne
Bercy,Personne
"Bercy, sieur de",Personne
"Berger, Jean",Personne
"Bernabeau, alias Barnabeau",Personne
Bernapré,Personne
"Bernapré, sieur de",Personne
"Berne, Pierre, dit Bariller",Personne
"Béronde, sieur de",Personne
Berry,Personne
"Berthau, Jean",Personne
Berthelot de Belloy,Personne
"Berthier, Edme",Personne
Berthus,Personne
"Bertrand, Elie",Personne
"Besnard, Louis",Personne
Bessac,Personne
Beziau,Personne
"Bezombes, sieur de",Personne
Bidaud,Personne
"Bidet, René",Personne
Bienville,Personne
Bigot de la Mothe,Personne
Bilatte alias Billatte,Personne
Billaud d'Ardenne,Personne
"Billeau, Paul",Personne
"Billefons, Mathieu-Alexandre",Personne
"Binaud, alias Binault",Personne
Bineau,Personne
"Birot, prêtre",Personne
Biscourt,Personne
Bitton,Personne
"Blanc, alias Le Blanc",Personne
Blancbuisson,Personne
Blancpignon,Personne
Blanzay,Personne
"Blénac, comte de",Personne
"Blou, madame",Personne
Bois de Talsy,Personne
"Bois de Villers, de",Personne
"Boisbriand, de",Personne
"Boislandry, Mathé de",Personne
"Boismaurin, sieur de",Personne
"Boisneuf, Huet de",Personne
"Boisreclous de la Braudière, sieur de",Personne
Boisrolé,Personne
"Boisrond, chevalier de",Personne
"Boisrond, sieur de",Personne
Boisset,Personne
"Boisson, Pierre",Personne
Bomefort,Personne
"Bonamie, Barthélémy",Personne
Bonfils,Personne
Boniont,Personne
"Bonnaventure, dame de",Personne
"Bonnegens, sieur de",Personne
Bonnemer,Personne
"Bonnet, Jean",Personne
"Bonneval, Olivier de",Personne
Bonnichon,Personne
Bonnin,Personne
"Bonnin, Charles",Personne
Bonté,Personne
"Bonvoust, monsieur de",Personne
"Boquier, Laurent",Personne
Bordageau,Personne
Bory,Personne
"Bosquen, L. de",Personne
"Bossemay, Jean David",Personne
Bouaille,Personne
Boucheron,Personne
Boucherot,Personne
Bouchillon,Personne
"Bougère, François",Personne
"Bouillard, Pierre",Personne
Bouin,Personne
"Bouloc, monsieur de",Personne
Bounaud,Personne
Bourdier,Personne
Bourdon,Personne
"Boureau, Pierre",Personne
Bourges,Personne
"Bouridal, monsieur de",Personne
"Bournon, Michel",Personne
"Bourot, dame",Personne
Boussion,Personne
"Boutard, abbé",Personne
Bouteville,Personne
Boutier,Personne
"Boutron, Etienne",Personne
Boutteville,Personne
Bouvet,Personne
Bouyn,Personne
Boyd,Personne
Boyer de Chastenay,Personne
"Brach, sieur de",Personne
"Bramen, Michel",Personne
"Brancaccio, duc de",Personne
"Brandasnière, Gazeau, chevalier de la ",Personne
Brassac,Personne
"Braud, Etienne",Personne
"Bray, veuve de ",Personne
Brebron,Personne
"Bredy, Mathurin",Personne
"Bremand, Pierre",Personne
Brement,Personne
"Bremon, sieur de",Personne
"Breslais, sieur de, alias Braislay",Personne
"Breüil, Chauvet de",Personne
Briais,Personne
"Briçonnet, chevalier de",Personne
"Brion, de Saint-Jeand-d'Angély",Personne
Brisson,Personne
Brochet,Personne
"Brossan, veuve",Personne
Brossard de Beaulieu,Personne
"Brossard, veuve",Personne
"Brouillat, Pierre dit la Treille",Personne
"Bruchet, dame",Personne
Brueil,Personne
"Brugière, Marie",Personne
Brunier,Personne
Bruslé,Personne
"Bussac, sieur de",Personne
"Bussot, de",Personne
Butet,Personne
"Butler, veuve",Personne
Buzet,Personne
"Cabanis, David",Personne
Cabarly,Personne
Cabauld,Personne
"Cadouche, veuve",Personne
Cahouet,Personne
"Caillaudière, Barthélémy",Personne
Cailleteau,Personne
"Callais, madame de",Personne
"Calm, alias La Calm",Personne
Calvimont,Personne
"Cambray, mademoiselle de",Personne
"Camilly, chevalier de",Personne
"Canalez, don Joseph",Personne
Canis,Personne
"Carcavy, sieur de",Personne
"Cardaillac, de",Personne
"Carman de la Pomarède, sieur de ",Personne
Carol,Personne
"Carol, veuve",Personne
"Carpègne, la princesse de",Personne
Carqueville,Personne
"Carré, Toussaint",Personne
"Carreau, Clément",Personne
"Carrère, Jean",Personne
Carrière,Personne
"Cartigny, monsieur de",Personne
"Cartron, Jean",Personne
"Castain, Laurent",Personne
"Casteau, Joseph",Personne
Cauvet de Montfort,Personne
Cazabon,Personne
Cazalet,Personne
Cazalis,Personne
"Cazaux, monsieur de",Personne
"Cendret, veuve",Personne
Chaban,Personne
"Chaban, sieur de",Personne
"Chabert, François",Personne
Chadeau de la Clocheterie,Personne
"Chagneau, Etienne",Personne
Chaillou,Personne
"Chalais, chevalier de",Personne
"Chalonne, madame de",Personne
"Chambert, Tousssaint",Personne
Champagné de la Guérinière,Personne
"Champagné, sieur de",Personne
"Champigny, Moufle de",Personne
"Champigny, sieur de",Personne
Chanteloup,Personne
"Chantereuil, sieur de",Personne
"Chaon, chevalier de",Personne
Chapelet,Personne
Chapelou,Personne
Chapuzot,Personne
Chardavoine,Personne
Charlot,Personne
Charmoy,Personne
"Charpentier, Claude",Personne
Chaselot,Personne
"Chastaine, Pierre, dit de Vernes",Personne
"Chastelet, comte de",Personne
Chastellain,Personne
"Chastellux, comte de",Personne
"Chateaubardon, sieur de",Personne
"Chateaufort, veuve",Personne
"Chateaugay, sieur de",Personne
"Chateaurenault, de",Personne
"Chateauvieux, sieur de ",Personne
"Chatelaillon, sieur de",Personne
"Chatillon, duc de",Personne
"Chatillon, marquis de",Personne
Chauvel,Personne
Chauvet du Breüil,Personne
"Chauvet, Jean",Personne
"Chauvin, Michel",Personne
Chazel,Personne
"Chelot, Françoise",Personne
"Chenet, Noël",Personne
"Cheptel, alias Cheplet",Personne
Chérade,Personne
"Chessé, Marie",Personne
Chevade,Personne
Chevalier de Blenau.,Personne
"Chevalier, Christophe",Personne
"Chevigné, sieur de",Personne
Chevotel,Personne
"Chevry, madame de",Personne
"Chézac, sieur de",Personne
Chichereau de la Barre,Personne
"Chiron, sieur de",Personne
"Choiseul, comte de",Personne
"Choisy, sieur de",Personne
