unittitle
Langlade Jean
Lanoue St-Martin
Laperlier Philibert
Laplagne de
"Larochalar, M de"
Laroche de
Larochejaquelein de
Laronde de
Laroutière chevalier de
Lasausaye de
Latraisne de
Latrémouille de
Lauberdrie Baudouin de
Laugerie de
Law Guillaume
Legras dit sans-façon
Lelatteur Pierre
Lesormel de
L’étanduère de
"Liebon, Jean dit Bonper"
Liesta de
"Ligouyer, Madame de,"
l’Illeau de
Linières de
Linois de
Longchamps de
Lopinot de
Louis Etienne
Loumeau Pierre
Macarty de
Marty de
Macquillé de
Maindre Etiene
Maindron Jean
Mallet Marie Jeanne
Maillevaud de
Marcellange de
Marion François
Marion Pierre
Marissy Joseph
Marolles Philippe de
Martel Pierre
Martin Jean
Martineau Pierre
Martou de
Massieu de
Massilieu de
Mathieu Gabriel
Meistre Jean
Melle Charles
Meloise de
Melu Jacques
Menneville de
Méré-Brossin de
Mérué Fontaine de
Merveilleux de
Meschin de
Mesmes Le Baillé de
Meunier Joseph
Meynier Guillaume
Micheau Jacques
Michel Augustin
Michel Louis
Monbron Pierre
 Mondrelois de
Mondrelois de
Monguy Pierre 
Montigny de
Montvert de
Morailleau François
Mullon Jean
Nadau François
Neveu Charles
Noé de
Nolent d’Emauville de
Nolinos de
Nouvant François
Pardieu de Berteville de
Parlan de
Patoizeau Jean
Pavan de
Penaud Jacques
Penaud Jean
Penotay Jean
Petiot Henry
Pichaud Charles
Pictersz de Wilde Simon
Pinault René
Pineau Dom
Pineteau Pierre
Pinsonneau François
Piot Jean
Poitiers François
Pont Paul de
Pontfarcy de
Portet Jean
Poupard Jean
Prigent Le Moal
Priou Pierre
Quierthon François
Raby François
Raimond Pierre
Réals de Borcal de
Reingle Jean
Renard Edme
Renne Etienne
Réquiston de
Ressous de
Riou Olivier
Robert Jean
Robin Marie
Rochebouet de
Roquecave de
Saillant de
Saint-Maimy de
Saint-Marcel de
Saint-Paupin Lignier de
Saint-Pierre de
Sale Pierre
Salgnac de
Saulger de
Sauvage Philippe
Schaap Claas 
Schonherr Gabriel
Seel de
Simonde
Sormel de
Surblé de
Thiverny de
Thomas Matturin
Tixier Nicolas
Travers Hubert
Valette M. de
Veaumimars de
Vergés de
Vienne M. de
Vieuxchant de
Villarzel de
Villefranche de 
Villeluisant de 
Villeneuve de
Villette madame de
Villiers-Fransure de
Volivert Thomas
Volvire de
Vouillay de
Vozain Olivier de
"Africain,l"
"Agathe,l'"
"Aimable,l'"
"Amphitrite,l'"
"Apollon,le vaisseau l'"
"Atalante,l"
"Aurore,la frégate l'"
"Baron de la Fauche,le navire le"
"Bellone,la frégate"
"Brutal,le vaisseau le"
"Cavalier,le"
"Chancelier,le"
"Charente,la flûte la "
"Chasseur,le vaisseau le"
"Cheval volant,le"
"Constant,le vaisseau le"
"Cowentry,le"
"Cygne,la flûte le"
"Dame Clasina,la"
"Deux frères,les"
"Découverte,la"
"Diane,la frégate la"
"Dragon,le brûlot le"
"Duchesse de Berry,la frégate la"
"Eclair,l'"
"Elisabeth,la flûte l'"
"Entreprise,l'"
"Etoile,la corvette l'"
"Fortune de Hambourg,la"
"François d'Assise,le vaisseau le"
"Fulminant,le vaisseau le"
"Gaillarde,la frégate la"
"Galant,le vaisseau le"
"Galante,le ponton la"
"Galathée,la"
"Grand Alexandre,le"
"Grande Bretagne,la"
"Griffon,le"
"Hampton,la flûte la"
"Hermione,la frègate l'"
"Hermione,l'"
"Héros,le vaisseau le"
"Héros,le"
"Illustre,le ponton l'"
"Indien,le vaisseau l'"
"Jason,le vaisseau le"
"Jeune Abraham,la flute le"
"Jeune Simon,le vaisseau le"
"Junon,le vaisseau la"
"Juste,le vaisseau le "
"Lion d'or,le"
"Loire,la flûte la"
"Louise,la frégate la"
"Magnanime,le vaisseau le"
"Marchand,la flûte le"
"Marie,la"
"Marie-Anne,la"
"Maure,le vaisseau le"
"Medemblick,le vaisseau le"
"Mercure,le vaisseau le"
"Mignon,le vaisseau le"
"Milfort,la frégate le"
"Nieuport,le vaisseau le"
"Nymphe,la frégate la"
"Oriflamme,le vaisseau l'"
"Ours,le ponton l'"
"Paix Couronnée,le vaisseau la"
"Paon,la frégate le "
"Poli,le vaisseau le"
"Pontchartrain,le vaisseau le"
"Prince,le vaisseau le "
"Prince des Asturies,le vaisseau le"
"Princesse,le vaisseau la"
"Profond,le vaisseau le"
"Providence,la"
"Reine des Anges,la"
"Reine d'Espagne,le vaisseau la"
"René,la frégate le"
"Renommée,la frégate la"
"Rusland,la flûte le"
"Saint-Antoine,le navire le"
"Saint-Christophe,le "
"Saint-Gilles,le "
"Saint-Jean-Evangéliste,le vaisseau le"
"Saint-Joseph,le"
"Saint-Louis,le navire"
"Saint-Paul-de-Pont,le vaisseau le "
"Saint-Pierre,la flûte hollandaise le"
"Samslack,le vaisseau le"
"Sirène,la frégate la"
"Sphère,la frégate la"
"Subtile,la frégate la"
"Thétis,la frégate la"
"Triton,le vaisseau le"
"Valeur,la frégate la"
"Vénus,la frégate la"
"Vermandois,le vaisseau le"
"Victoire,la frégate la"
"Victorieux,le vaisseau le"
"Vierge de Grâce,le vaisseau la"
"Vièrge de Grâce, la frégate la"
"Acadie,Canada,Plaisance"
"Assiente,compagnie de l'"
Courpignac (près Montendre)
Fille (voir Farcot)
Garde-Côte
Latremblade
"Lupin,fort"
Madame île
"Martinique,île de la"
Officiers.
"Edits et ordonnances, Saint-Germain-en-Laye, 12 mars 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 12 octobre 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 14 octobre 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 18 mars 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 20 octobre 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 24 mars 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 26 octobre 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 28 octobre 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 29 mai 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 3 décembre 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 4 mars 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 5 décembre 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 6 juin 1672"
"Edits et ordonnances, Saint-Germain-en-Laye, 8 avril 1672"
"Edits et ordonnances, Touchant la Marine et les Colonies, de 1672 à 1700"
"Lettres ministérielles, 1 août 1672"
"Lettres ministérielles, 10 octobre 1672"
"Lettres ministérielles, 12 octobre 1672"
"Lettres ministérielles, 14 octobre 1672"
"Lettres ministérielles, 16 octobre 1672"
"Lettres ministérielles, 20 octobre 1672"
"Lettres ministérielles, 21 octobre 1672"
"Lettres ministérielles, 23 septembre 1672"
"Lettres ministérielles, 24 octobre 1672"
"Lettres ministérielles, 28 septembre 1672"
"Lettres ministérielles, 3 octobre 1672"
"Lettres ministérielles, 30 septembre 1672"
"Lettres ministérielles, 7 octobre 1672"
"Lettres ministérielles, 8 octobre 1672"
"Notes, Rochefort, en 1672 et 1673"
"Edits et ordonnances, Nancy, 13 septembre 1673"
"Edits et ordonnances, Nancy, 23 septembre 1673"
"Edits et ordonnances, Nancy, août 1673"
"Edits et ordonnances, Saint-Germain-en-Laye, 13 mars 1673"
"Edits et ordonnances, Saint-Germain-en-Laye, 16 mars 1673"
"Edits et ordonnances, Saint-Germain-en-Laye, 18 mars 1673"
"Edits et ordonnances, Saint-Germain-en-Laye, 19 décembre 1673"
"Edits et ordonnances, Saint-Germain-en-Laye, 20 août 1673"
"Edits et ordonnances, Saint-Germain-en-Laye, 26 juillet 1673"
"Edits et ordonnances, Saint-Germain-en-Laye, 27 avril 1673"
"Edits et ordonnances, Versailles, 19 octobre 1673"
"Lettres ministérielles, 1 er août 1673"
"Lettres ministérielles, 1 er juillet 1673"
"Lettres ministérielles, 10 juillet 1673"
"Lettres ministérielles, 11 août 1673"
"Lettres ministérielles, 11 septembre 1673"
"Lettres ministérielles, 12 juin 1673"
"Lettres ministérielles, 13 août 1673"
"Lettres ministérielles, 13 juillet 1673"
"Lettres ministérielles, 13 septembre 1673"
"Lettres ministérielles, 14 août 1673"
"Lettres ministérielles, 15 septembre 1673"
"Lettres ministérielles, 16 juin 1673"
"Lettres ministérielles, 17 août 1673"
"Lettres ministérielles, 17 juillet 1673"
"Lettres ministérielles, 18 août 1673"
"Lettres ministérielles, 18 juillet 1673"
"Lettres ministérielles, 18 septembre 1673"
"Lettres ministérielles, 19 juin 1673"
"Lettres ministérielles, 20 juillet 1673"
"Lettres ministérielles, 21 août 1673"
"Lettres ministérielles, 21 juillet 1673"
"Lettres ministérielles, 22 septembre 1673"
"Lettres ministérielles, 23 août 1673"
"Lettres ministérielles, 23 juin 1673"
"Lettres ministérielles, 23 septembre 1673"
"Lettres ministérielles, 25 août 1673"
"Lettres ministérielles, 25 septembre 1673"
"Lettres ministérielles, 26 juin 1673"
"Lettres ministérielles, 27 septembre 1673"
"Lettres ministérielles, 28 août 1673"
"Lettres ministérielles, 28 juillet 1673"
"Lettres ministérielles, 29 juin 1673"
"Lettres ministérielles, 3 juillet 1673"
"Lettres ministérielles, 30 juillet 1673"
"Lettres ministérielles, 30 juin 1673"
"Lettres ministérielles, 4 août 1673"
"Lettres ministérielles, 4 juillet 1673"
"Lettres ministérielles, 4 septembre 1673"
"Lettres ministérielles, 7 juillet 1673"
"Lettres ministérielles, 8 septembre 1673"
"Lettres ministérielles, 9 septembre 1673"
"Edits et ordonnances, Au camp devant Dôle, 25 août 1674"
"Edits et ordonnances, Au camp devant Dôle, 6 juin 1674"
"Edits et ordonnances, Au camp devant Dôle, 7 juin 1674"
"Edits et ordonnances, Saint-Germain-en-Laye, 12 janvier 1674"
"Edits et ordonnances, Saint-Germain-en-Laye, décembre 1674"
"Edits et ordonnances, Versailles, 14 décembre 1674"
"Edits et ordonnances, Versailles, 23 février 1674"
"Edits et ordonnances, Versailles, 5 juin 1674"
"Edits et ordonnances, Versailles, 5 octobre 1674"
"Edits et ordonnances, Versailles, 6 octobre 1674"
"Edits et ordonnances, Au camp de Velaine, 14 juillet 1675"
"Edits et ordonnances, Au camp de Velaine, 7 août 1675"
"Edits et ordonnances, Saint-Germain-en-Laye, 15 juin 1675"
"Edits et ordonnances, Saint-Germain-en-Laye, 17 février 1675"
"Edits et ordonnances, Versailles, 13 septembre 1675"
"Edits et ordonnances, Versailles, 13 février 1676"
"Edits et ordonnances, Versailles, 13 octobre 1676"
"Edits et ordonnances, Versailles, 14 juin 1676"
"Edits et ordonnances, Versailles, 15 janvier 1676"
"Edits et ordonnances, Versailles, 15 octobre 1676"
"Edits et ordonnances, Versailles, 19 septembre 1676"
"Edits et ordonnances, Versailles, 20 août 1676"
"Edits et ordonnances, Versailles, 22 juillet 1676"
"Edits et ordonnances, Versailles, 23 mars 1676"
"Edits et ordonnances, Versailles, 23 septembre 1676"
"Edits et ordonnances, Versailles, 28 août 1676"
"Edits et ordonnances, Versailles, 5 août 1676"
"Edits et ordonnances, Versailles, 3 décembre 1677"
"Edits et ordonnances, Versailles, 30 mars 1677"
"Edits et ordonnances, Versailles, 31 mars 1677"
"Edits et ordonnances, Versailles, 9 janvier 1677"
"Notes, Mathieu"
"Edits et ordonnances, Saint-Germain-en-Laye, 2 juillet 1679"
"Edits et ordonnances, Saint-Germain-en-Laye, 23 juillet 1679"
"Edits et ordonnances, Saint-Germain-en-Laye, 4 décembre 1679"
"Edits et ordonnances, Saint-Germain-en-Laye, août 1679"
"Edits et ordonnances, Saint-Germain-en-Laye, juin 1679"
"Edits et ordonnances, Versailles, 13 avril 1679"
"Edits et ordonnances, Versailles, 29 avril 1679"
"Edits et ordonnances, Saint-Germain-en-Laye, 10 juin 1680"
"Edits et ordonnances, Saint-Germain-en-Laye, 15 juin 1680"
"Edits et ordonnances, Saint-Germain-en-Laye, 24 février 1680"
"Edits et ordonnances, Saint-Germain-en-Laye, 24 mars 1680"
"Edits et ordonnances, Fontainebleau, août 1681"
"Edits et ordonnances, Versailles, juillet 1681"
"Edits et ordonnances, Fontainebleau, 10 mars 1682"
"Edits et ordonnances, Fontainebleau, 13 avril 1682"
"Edits et ordonnances, Fontainebleau, 20 janvier 1682"
"Edits et ordonnances, Fontainebleau, 4 septembre 1682"
"Edits et ordonnances, Fontainebleau, 6 janvier 1682"
"Edits et ordonnances, Fontainebleau, 9 décembre 1682"
"Edits et ordonnances, Fontainebleau, 12 avril 1683"
"Edits et ordonnances, Fontainebleau, 16 septembre 1683"
"Edits et ordonnances, Fontainebleau, 23 septembre 1683"
"Edits et ordonnances, Fontainebleau, 25 août 1683"
"Edits et ordonnances, Versailles, 21 octobre 1683"
"Edits et ordonnances, Versailles, 23 novembre 1683"
"Edits et ordonnances, Versailles, 25 novembre 1683"
"Edits et ordonnances, Versailles, 30 septembre 1683"
"Edits et ordonnances, Versailles, 8 octobre 1683"
"Edits et ordonnances, Versailles, 12 septembre 1684"
"Edits et ordonnances, Versailles, 14 septembre 1684"
"Edits et ordonnances, Versailles, 21 août 1684"
"Edits et ordonnances, Versailles, 21 décembre 1684"
"Edits et ordonnances, Versailles, 21 février 1684"
"Edits et ordonnances, Versailles, 21 janvier 1684"
"Edits et ordonnances, Versailles, 3 mars 1684"
"Edits et ordonnances, Versailles, 4 décembre 1684"
"Edits et ordonnances, Versailles, 4 mars 1684"
"Edits et ordonnances, Fontainebleau, 5 novembre 1685"
"Edits et ordonnances, Versailles, 16 août 1685"
"Edits et ordonnances, Versailles, 25 octobre 1685"
"Edits et ordonnances, Versailles, 3 mai 1685"
"Edits et ordonnances, Versailles, 30 janvier 1685 "
"Edits et ordonnances, Versailles, 31 mai 1685"
"Edits et ordonnances, Versailles, 4 octobre 1685"
"Edits et ordonnances, Versailles, janvier 1685"
"Edits et ordonnances, Versailles, mars 1685"
"Edits et ordonnances, Fontainebleau, 21 mars 1686"
"Edits et ordonnances, Fontainebleau, 26 janvier 1686"
"Edits et ordonnances, Fontainebleau, 27 février 1686"
"Edits et ordonnances, Fontainebleau, 7 février 1686"
"Edits et ordonnances, Versailles, 20 mai 1686"
"Edits et ordonnances, Versailles, 24 novembre 1686"
"Edits et ordonnances, Versailles, 28 octobre 1686"
"Edits et ordonnances, Versailles, 8 octobre 1686"
"Edits et ordonnances, Versailles, novembre 1686"
"Edits et ordonnances, Fontainebleau, 12 octobre 1687"
"Edits et ordonnances, Versailles, 14 août 1688"
"Edits et ordonnances, Versailles, 24 mars 1687"
"Edits et ordonnances, Versailles, 28 février 1687"
"Edits et ordonnances, Versailles, avril 1687"
"Edits et ordonnances, Fontainebleau, 12 novembre 1688"
"Edits et ordonnances, Versailles, 20 novembre 1688"
"Edits et ordonnances, Versailles, 26 novembre 1688"
"Lettres ministérielles, 11 octobre 1688"
"Lettres ministérielles, 11 septembre 1688"
"Lettres ministérielles, 14 avril 1688"
"Lettres ministérielles, 14 septembre 1688"
"Lettres ministérielles, 16 avril 1688"
"Lettres ministérielles, 16 octobre 1688"
"Lettres ministérielles, 18 avril 1688"
"Lettres ministérielles, 2 septembre 1688"
"Lettres ministérielles, 20 avril 1688"
"Lettres ministérielles, 22 septembre 1688"
"Lettres ministérielles, 23 septembre 1688"
"Lettres ministérielles, 25 septembre 1688"
"Lettres ministérielles, 26 avril 1688"
"Lettres ministérielles, 27 septembre 1688"
"Lettres ministérielles, 28 avril 1688"
"Lettres ministérielles, 4 octobre 1688"
"Lettres ministérielles, 8 septembre 1688"
"Lettres ministérielles, 9 avril 1688"
"Notes, Louis Delavaud"
"Edits et ordonnances, Versailles, 10 mai 1689"
"Edits et ordonnances, Versailles, 13 juin 1689"
"Edits et ordonnances, Versailles, 15 avril 1689"
"Edits et ordonnances, Versailles, 17 décembre 1689"
"Edits et ordonnances, Versailles, 2 octobre 1689"
"Edits et ordonnances, Versailles, 20 juin 1689"
"Edits et ordonnances, Versailles, 27 novembre 1689"
"Edits et ordonnances, Versailles, 7 décembre 1689"
"Lettres ministérielles, 1 er novembre 1689"
"Lettres ministérielles, 10 août 1689"
"Lettres ministérielles, 10 décembre 1689"
"Lettres ministérielles, 10 octobre 1689"
"Lettres ministérielles, 12 avril 1689"
"Lettres ministérielles, 12 décembre 1689"
"Lettres ministérielles, 13 août 1689"
"Lettres ministérielles, 13 octobre 1689"
"Lettres ministérielles, 14 avril 1689"
"Lettres ministérielles, 14 novembre 1689"
"Lettres ministérielles, 14 sept 1689"
"Lettres ministérielles, 14 septembre 1689"
"Lettres ministérielles, 15 avril 1689"
"Lettres ministérielles, 15 décembre 1689"
"Lettres ministérielles, 15 octobre 1689"
"Lettres ministérielles, 16 mai 1689"
"Lettres ministérielles, 16 novembre 1689"
"Lettres ministérielles, 16 octobre 1689"
"Lettres ministérielles, 16 septembre 1689"
"Lettres ministérielles, 17 août 1689"
"Lettres ministérielles, 17 avril 1689"
"Lettres ministérielles, 17 décembre 1689"
"Lettres ministérielles, 17 octobre 1689"
"Lettres ministérielles, 17 septembre 1689"
"Lettres ministérielles, 18 décembre 1689"
"Lettres ministérielles, 19 août 1689"
"Lettres ministérielles, 19 avril 1689"
"Lettres ministérielles, 19 décembre 1689"
"Lettres ministérielles, 19 mars 1689"
"Lettres ministérielles, 2 août 1689"
"Lettres ministérielles, 2 mai 1689"
"Lettres ministérielles, 2 novembre 1689"
"Lettres ministérielles, 20 octobre 1689"
"Lettres ministérielles, 20 septembre 1689"
"Lettres ministérielles, 21 août1689"
"Lettres ministérielles, 21 avril 1689"
"Lettres ministérielles, 21 décembre 1689"
"Lettres ministérielles, 22 août 1689"
"Lettres ministérielles, 22 avril 1689"
"Lettres ministérielles, 22 décembre 1689"
"Lettres ministérielles, 22 juillet 1689"
"Lettres ministérielles, 23 novembre 1689"
"Lettres ministérielles, 24 août 1689"
"Lettres ministérielles, 24 avril 1689"
"Lettres ministérielles, 24 novembre 1689"
"Lettres ministérielles, 24 octobre 1689"
"Lettres ministérielles, 25 mai 1689"
"Lettres ministérielles, 25 novembre 1689"
"Lettres ministérielles, 25 octobre 1689"
"Lettres ministérielles, 26 avril 1689"
"Lettres ministérielles, 26 décembre 1689"
"Lettres ministérielles, 26 juillet 1689"
"Lettres ministérielles, 26 octobre 1689"
"Lettres ministérielles, 26 septembre 1689"
"Lettres ministérielles, 27 août 1689"
"Lettres ministérielles, 27 avril 1689"
"Lettres ministérielles, 27 novembre 1689"
"Lettres ministérielles, 27 septembre 1689"
"Lettres ministérielles, 28 juillet 1689"
"Lettres ministérielles, 28 novembre 1689"
"Lettres ministérielles, 28 octobre 1689"
"Lettres ministérielles, 29 octobre 1689"
"Lettres ministérielles, 29 septembre 1689"
"Lettres ministérielles, 3 août 1689"
"Lettres ministérielles, 3 décembre 1689"
"Lettres ministérielles, 30 avril 1689"
"Lettres ministérielles, 30 décembre 1689"
"Lettres ministérielles, 30 novembre 1689"
"Lettres ministérielles, 30 octobre 1689"
"Lettres ministérielles, 31 août 1689"
"Lettres ministérielles, 4 novembre 1689"
"Lettres ministérielles, 4 octobre 1689"
"Lettres ministérielles, 5 décembre 1689"
"Lettres ministérielles, 6 avril 1689"
"Lettres ministérielles, 6 décembre 1689"
"Lettres ministérielles, 6 octobre 1689"
"Lettres ministérielles, 7 août 1689"
"Lettres ministérielles, 7 avril 1689"
"Lettres ministérielles, 8 août 1689"
"Lettres ministérielles, 8 avril 1689"
"Lettres ministérielles, 8 novembbre 1689"
"Lettres ministérielles, 8 octobre 1689"
"Lettres ministérielles, 8 septembre 1689"
"Lettres ministérielles, 9 novembre 1689"
"Lettres ministérielles, 9 septembre 1689"
"Lettres ministérielles, juin 1689"
"Edits et ordonnances, Versailles, 15 janvier 1690"
"Edits et ordonnances, Versailles, 29 mai 1690"
"Edits et ordonnances, Versailles, 3 septembre 1690"
"Lettres ministérielles, 1 juin 1690"
"Lettres ministérielles, 1 novembre 1690"
"Lettres ministérielles, 12 août 1690"
"Lettres ministérielles, 12 novembre 1690"
"Lettres ministérielles, 13 août 1690"
"Lettres ministérielles, 13 juin 1690"
"Lettres ministérielles, 13 novembre 1690"
"Lettres ministérielles, 14 aoüt 1690"
"Lettres ministérielles, 14 novembre 1690"
"Lettres ministérielles, 15 mai 1690"
"Lettres ministérielles, 15 novembre 1690"
"Lettres ministérielles, 16 décembre 1690"
"Lettres ministérielles, 16 mai 1690"
"Lettres ministérielles, 16 novembre 1690"
"Lettres ministérielles, 17 juin 1690"
"Lettres ministérielles, 17 novembre 1690"
"Lettres ministérielles, 18 mai 1690"
"Lettres ministérielles, 18 novembre 1690"
"Lettres ministérielles, 19 juin 1690"
"Lettres ministérielles, 19 mai 1690"
"Lettres ministérielles, 20 août 1690"
"Lettres ministérielles, 20 juin 1690"
"Lettres ministérielles, 20 novembre 1690"
"Lettres ministérielles, 21 août 1690"
"Lettres ministérielles, 22 novembre 1690"
"Lettres ministérielles, 23 décembre 1690"
"Lettres ministérielles, 23 juin 1690"
"Lettres ministérielles, 24 novembre 1690"
"Lettres ministérielles, 26 décembre 1690"
"Lettres ministérielles, 26 novembre 1690"
"Lettres ministérielles, 28 mai 1690"
"Lettres ministérielles, 28 novembre 1690"
"Lettres ministérielles, 29 novembre 1690"
"Lettres ministérielles, 3 décembre 1690"
"Lettres ministérielles, 3 mai 1690"
"Lettres ministérielles, 30 août 1690"
"Lettres ministérielles, 30 juin 1690"
"Lettres ministérielles, 4 août 1690"
"Lettres ministérielles, 5 août 1690"
"Lettres ministérielles, 6 juin 1690"
"Lettres ministérielles, 7 janvier 1690"
"Lettres ministérielles, 8 novembre 1690"
"Lettres ministérielles, 9 juin 1690"
"Lettres ministérielles, 9 novembre 1690"
"Notes, Yves Marie de la Bourdonnaye"
"Edits et ordonnances, Fontainebleau, 24 septembre 1691"
"Edits et ordonnances, Fontainebleau, 31 octobre 1691"
"Edits et ordonnances, Fontainebleau, 5 décembre 1691"
"Edits et ordonnances, Versailles, 20 août 1691"
"Edits et ordonnances, Versailles, 23 mai 1691"
"Edits et ordonnances, Versailles, 26 février 1691"
"Edits et ordonnances, Versailles, 9 août 1691"
"Edits et ordonnances, Versailles, avril 1691"
"Edits et ordonnances, Versailles, juillet 1691"
"Lettres ministérielles, 1 avril 1691"
"Lettres ministérielles, 1 er août 1691"
"Lettres ministérielles, 1 er avril 1691"
"Lettres ministérielles, 1 er novembre 1691"
"Lettres ministérielles, 1 er octobre 1691"
"Lettres ministérielles, 1 er septembre 1691"
"Lettres ministérielles, 10 août 1691"
"Lettres ministérielles, 10 avril 1691"
"Lettres ministérielles, 10 février 1691"
"Lettres ministérielles, 10 juillet 1691"
"Lettres ministérielles, 10 mars 1691"
"Lettres ministérielles, 11 avril 1691"
"Lettres ministérielles, 11 mars 1691"
"Lettres ministérielles, 11 novembre 1691"
"Lettres ministérielles, 11 octobre 1691"
"Lettres ministérielles, 12 février 1691"
"Lettres ministérielles, 12 janvier 1691"
"Lettres ministérielles, 12 mars 1691"
"Lettres ministérielles, 12 novembre 1691"
"Lettres ministérielles, 12 octobre 1691"
"Lettres ministérielles, 13 avril 1691"
"Lettres ministérielles, 13 février 1691"
"Lettres ministérielles, 13 juin 1691"
"Lettres ministérielles, 13 mai 1691"
"Lettres ministérielles, 13 octobre 1691"
"Lettres ministérielles, 14 décembre 1691"
"Lettres ministérielles, 14 février 1691"
"Lettres ministérielles, 14 janvier 1691"
"Lettres ministérielles, 14 mars 1691"
"Lettres ministérielles, 14 octobre 1691"
"Lettres ministérielles, 15 avril 1691"
"Lettres ministérielles, 15 mars 1691"
"Lettres ministérielles, 15 octobre 1691"
"Lettres ministérielles, 16 mars 1691"
"Lettres ministérielles, 16 octobre 1691"
"Lettres ministérielles, 17 avril 1691"
"Lettres ministérielles, 17 février 1691"
"Lettres ministérielles, 17 novembre 1691"
"Lettres ministérielles, 18 août 1691"
"Lettres ministérielles, 18 avril 1691"
"Lettres ministérielles, 18 février 1691"
"Lettres ministérielles, 18 juin 1691"
"Lettres ministérielles, 18 octobre 1691"
"Lettres ministérielles, 18 septembre 1691"
"Lettres ministérielles, 19 août 1691"
"Lettres ministérielles, 19 avril 1691"
"Lettres ministérielles, 19 janvier 1691"
"Lettres ministérielles, 19 juin 1691"
"Lettres ministérielles, 19 mai 1691"
"Lettres ministérielles, 19 octobre 1691"
"Lettres ministérielles, 2 aout 1691"
"Lettres ministérielles, 2 août 1691"
"Lettres ministérielles, 2 avril 1691"
"Lettres ministérielles, 2 février 1691"
"Lettres ministérielles, 2 janvier 1691"
"Lettres ministérielles, 2 juillet 1691"
"Lettres ministérielles, 2 mars 1691"
"Lettres ministérielles, 2 octobre 1691"
"Lettres ministérielles, 2 septembre 1691"
"Lettres ministérielles, 20 août 1691"
"Lettres ministérielles, 20 avril 1691"
"Lettres ministérielles, 20 février 1691"
"Lettres ministérielles, 20 mai 1691"
"Lettres ministérielles, 20 mars 1691"
"Lettres ministérielles, 20 octobre 1691"
"Lettres ministérielles, 21 avril 1691"
"Lettres ministérielles, 21 décembre 1691"
"Lettres ministérielles, 21 février 1691"
"Lettres ministérielles, 21 janvier 1691"
"Lettres ministérielles, 21 mars 1691"
"Lettres ministérielles, 22 avril 1691"
"Lettres ministérielles, 22 mars 1691"
"Lettres ministérielles, 23 février 1691"
"Lettres ministérielles, 23 janvier 1691"
"Lettres ministérielles, 24 avril 1691"
"Lettres ministérielles, 24 février 1691"
"Lettres ministérielles, 24 mars 1691"
"Lettres ministérielles, 24 septembre 1691"
"Lettres ministérielles, 25 août 1691"
"Lettres ministérielles, 25 avril 1691"
"Lettres ministérielles, 26 août 1691"
"Lettres ministérielles, 26 avril 1691"
"Lettres ministérielles, 26 février 1691"
"Lettres ministérielles, 27 avril 1691"
"Lettres ministérielles, 27 janvier 1691"
"Lettres ministérielles, 27 mars 1691"
"Lettres ministérielles, 27 octobre 1691"
"Lettres ministérielles, 28 avril 1691"
"Lettres ministérielles, 28 février 1691"
"Lettres ministérielles, 28 mars 1691"
"Lettres ministérielles, 28 octobre 1691"
"Lettres ministérielles, 29 août 1691"
"Lettres ministérielles, 29 décembre 1691"
"Lettres ministérielles, 29 octobre 1691"
"Lettres ministérielles, 3 avril 1691"
"Lettres ministérielles, 3 février 1691"
"Lettres ministérielles, 3 mars 1691"
"Lettres ministérielles, 3 novembre 1691"
"Lettres ministérielles, 3 septembre 1691"
"Lettres ministérielles, 30 avril 1691"
"Lettres ministérielles, 30 juillet 1691"
"Lettres ministérielles, 30 juin 1691"
"Lettres ministérielles, 30 octobre 1691"
"Lettres ministérielles, 30 septembre 1691"
"Lettres ministérielles, 31 août 1691"
"Lettres ministérielles, 31 mars 1691"
"Lettres ministérielles, 31 octobre 1691"
"Lettres ministérielles, 4 avril 1691"
"Lettres ministérielles, 4 juin 1691"
"Lettres ministérielles, 4 novembre 1691"
"Lettres ministérielles, 4 octobre 1691"
"Lettres ministérielles, 4 septembre 1691"
"Lettres ministérielles, 5 février 1691"
"Lettres ministérielles, 5 mars 1691"
"Lettres ministérielles, 5 octobre 1691"
"Lettres ministérielles, 6 avril 1691"
"Lettres ministérielles, 6 février 1691"
"Lettres ministérielles, 6 mars 1691"
"Lettres ministérielles, 6 octobre 1691"
"Lettres ministérielles, 7 août 1691"
"Lettres ministérielles, 7 avril 1691"
"Lettres ministérielles, 7 février 1691"
"Lettres ministérielles, 7 janvier 1691"
"Lettres ministérielles, 7 mars 1691"
"Lettres ministérielles, 7 novembre 1691"
"Lettres ministérielles, 7 octobre 1691"
"Lettres ministérielles, 8 février 1691"
"Lettres ministérielles, 8 octobre 1691"
"Lettres ministérielles, 9 août 1691"
"Lettres ministérielles, 9 février 1691"
"Lettres ministérielles, 9 mars 1691"
"Lettres ministérielles, 9 octobre 1691"
