nom,type,ID
"Cazaus, de",P,P1727
Cazeville,P,P1732
Ceberet,P,P1733
"Chaban, Sieur de",P,P1743
Chabert,P,P1751
Chabot,P,P1757
"Chadefeau, Antoine",P,P1768
Chaigneau,P,P1773
Chaillaud,P,P1774
Chaillé,P,P1777
Chaintreau,P,P1780
Chaix,P,P1781
"Chalais, Le chevalier de",P,P1783
"Chalumeau, Veuve",P,P1791
Chamblé,P,P1797
"Chambon, Galien de",P,P1798
"Chamillart, Le chevalier de",P,P1804
"Champigny, de",P,P1824
"Champmeslin, de",P,P1833
Chanlatte,P,P1840
"Chanvry, Antoine",P,P1849
Chapotot,P,P1864
Charitte,P,P1881
Charles,P,P1887
Charonnier,P,P1913
Charrier,P,P1920
"Charrières, de",P,P1925
Charrin,P,P1924
"Charron de Salles, Le sieur de",P,P1927
"Chasseloup, Demoiselle",P,P1935
Chasteauneuf,P,P1950
"Chastelain, Dame",P,P1955
"Chastillon, Sieur de",P,P1968
"Chateaufort, Sieur de",P,P1975
"Chateauguillaume, Sieur de",P,P1978
"Chateaumorant, de",P,P1982
chateauneuf,P,P9819
"Chateaurenault, François-Louis Rousselet",P,P1988
"Chatellaillon, M. de",P,P1994
"Chaulnes, M. de",P,P2004
Chaumel,P,P2005
Chauveau,P,P2011
"Chauvet, François",P,P2024
"Chavagnac, de",P,P2036
Chaviteau,P,P2044
"Chaviteau, Jacques",P,P2046
Cheise,P,P2053
Chenevois,P,P2057
Cheroutel,P,P2062
"Cheury, Marquis de",P,P2069
Chevalier,P,P2073
"Chevreuse, Duc de",P,P2097
"Chevrières, sieur de",P,P2100
"Chevry, Marquis de",P,P2101
Chezant,P,P2105
"Ciré, Marquis de",P,P2161
Clairambault,P,P2165
Clairau,P,P2166
Clairville,P,P2171
"Clancy, de",P,P2175
Claverie,P,P2187
"Clérac, Sieur de",P,P2215
Clercau,P,P2193
Clereau,P,P2194
"Cloche, Le Père",P,P2209
Coderk,P,P2225
"Coëtlogon, Le chevalier de",P,P2452
Coigné,P,P2238
Colardeau,P,P2241
Colbert de Terron,P,P2245
Colineau,P,P2250
"Combes, Sieur de",P,P2262
Compagnon,P,P2270
Comte,P,P2275
"Conteneuil, Sieur de",P,P2298
"Contre, de",P,P2300
"Contreblénac, de",P,P2301
Corbineau,P,P2314
"Cordemoy, L'abbé de",P,P2317
Cordier,P,P2319
Corlieu,P,P2323
Cormier,P,P2325
"Costebelle, Sieur de",P,P2344
Cotreau,P,P2347
Coulomb,P,P2361
Coulombe,P,P2363
Coulonge,P,P2369
"Courbasson, Sieur de",P,P2375
"Courbon Saint-Léger, M. de",P,P2381
"Courbon, M. de",P,P2383
"Courserat, de",P,P2408
Courtin,P,P2415
"Courtin, Les sieurs",P,P2418
"Courtois, Denis",P,P2421
Coustan,P,P2429
"Couyer des Palus, Demoiselle",P,P2449
"Coyer, Demoiselle",P,P2450
Cramahé,P,P2454
Crammé,P,P2455
"Cravoy, de",P,P2459
"Creil, de",P,P2461
"Crepaut, Maurice",P,P2466
"Croissy, Charle-Joachim Colbert de",P,P2478
Cromel,P,P2481
"Culant, Sieur de",P,P2499
"D'Ableiges, , Gilles-François de Maupeou",P,P2509
D'Aguerre,P,P2514
D'Aigrefin,P,P2517
"D'Ailly, Le chevalier",P,P2520
D'Aligre,P,P2527
D'Ally,P,P2529
D'Almeras,P,P2530
D'Amblymont,P,P2533
"D'Amblymont, Claude Renart de Fuchsamberg",P,P2534
D'Amfreville,P,P2535
"D'Amont, Le chevalier",P,P2536
D'Arangy,P,P2548
"D'Arbouville, Le chevalier",P,P2550
D'Argenson,P,P2552
D'Armenonville,P,P2553
D'Armonville,P,P2554
"D'Arquien, Comte (alias D'arquian)",P,P2557
"D'Aubterre, M. le Comte",P,P2567
"D'Aulnay, Comte",P,P2570
"D'aume, Jean",P,P2648
"D'Auyau, des Fougères",P,P2574
D'Auzun,P,P2575
"D'esguillon, Marie-Thérèse de Vignerot",P,P2650
"D'Esragny, Le Marquis",P,P2597
"D'Estrées, Jean",P,P2601
"D'Estrées, L'abbé",P,P2602
"D'Estrées, Le Maréchal",P,P2603
D'Eury,P,P2607
D'Harbouville,P,P2608
"D'Harcourt, Marquis",P,P2609
D'Hautefort,P,P2612
D'Herbigny,P,P2616
