function	ID	cID	geogname
Personne	P6974	C25516	Rochefort, Rochefort
Personne	P6974	C25517	Saint-Hubert
Personne	P6974	C25514	
Personne	P6974	C25515	
Personne	P6974	C25512	
Personne	P6974	C25505	
Personne	P6974	C25506	Planchemeunier, Rancogne
Personne	P6974	C25515	
Personne	P7072	N16610	
Personne	P7072	N16611	
Personne	P7072	C25889	
Personne	P7072	C25888	Michilimackina
Personne	P7086	C25927	
Personne	P7086	C25920	
Personne	P7086	C25920	
Personne	P7086	C25921	
Personne	P7086	C25924	Rochefort
Personne	P7086	C25925	La Rochelle, Canada
Personne	P7086	C25922	
Personne	P7086	C25923	
Personne	P7086	C25926	
Personne	P7499	C27316	
Personne	P7499	C27314	
Personne	P7499	C27315	Marchand
Personne	P7499	N17562	
Personne	P7506	C27330	Saint-James, Oléron
Personne	P7704	C27888	Rochefort
Personne	P7981	N18502	
Personne	P7988	C28586	Île de Ré.
Personne	P7988	C28587	Île de Ré.
Personne	P8141	C29094	
Personne	P8274	C29912	Rochefort, fort Lupin
Personne	P8274	C29911	
Personne	P8274	C29911	
Personne	P8274	C29914	Île d'Oléron
Personne	P8274	C29914	Île d'Oléron
Personne	P8274	C29913	
Personne	P8274	C29915	Toulon, Rochefort
Personne	P8274	C29909	
Personne	P8274	C29910	Saint-Philippe, Saint-Louis, Ardent
Personne	P8883	C32233	La Rochelle
Personne	P8883	C32232	Rochefort
Personne	P8883	C32231	
Personne	P8883	C32230	
Personne	P8883	C32229	
Personne	P8545	C30895	
Personne	P8561	C30914	
Personne	P8596	C31043	La Rochelle
Personne	P8597	C31044	
Personne	P8597	N19883	
Personne	P8619	C31088	Saint-Palais
Personne	P8664	N19998	
Personne	P8756	C31542	
Personne	P8756	C31551	
Personne	P8756	C31547	
Personne	P8756	C31550	
Personne	P8756	C31546	
Personne	P8756	C31541	Rochefort
Personne	P8756	C31544	
Personne	P8756	C31545	
Personne	P8756	C31549	
Personne	P8756	C31540	
Personne	P8756	C31543	
Personne	P8756	C31548	
Personne	P8947	C32460	
Personne	P9041	C32720	
Personne	P9144	C32976	Gibraltar
Personne	P9144	N21089	
Personne	P9297	N21486	
Personne	P9341	C33809	Roussillon, Aunis
Personne	P9341	C33810	Roussillon, Aunis
Personne	P9341	C33816	La Rochelle
Personne	P9341	C33814	
Personne	P9341	C33815	
Personne	P9341	C33806	Blaye, Médoc, Aunis
Personne	P9341	C33805	baie d'Hudson
Personne	P9341	C33811	La Rochelle
Personne	P9341	C33812	
Personne	P9341	C33808	baie d'Hudson, Canada
Personne	P9341	C33804	Vermandois
Personne	P9341	C33813	
Personne	P9341	C33807	La Rochelle, ile Royale
Personne	P9737	C35740	Mississipi
Personne	P9777	N22720	
Personne	P9777	C35800	Bégon
Personne	P9777	C35799	
Personne	P9959	N23122	
Personne	P9959	C36345	
Personne	P9959	C36348	
Personne	P9959	C36341	
Personne	P9959	C36343	
Personne	P9959	C36340	
Personne	P9959	C36347	
Personne	P9959	C36344	Bayonne
Personne	P9959	C36342	Bayonne
Personne	P9959	C36346	Triton
Personne	P10054	N23311	
Personne	P10140	C36852	
Personne	P10140	C36856	Servira, Île de Ré.
Personne	P10140	C36854	Île de Ré, château de Dampierre
Personne	P10140	C36853	Espagne
Personne	P10140	C36855	La Rochelle
Personne	P10212	C37041	Paris
Personne	P10495	C38155	Paris
Personne	P10551	N24369	
Personne	P6	C89	la Rochelle
Personne	P9	C93	Île de Ré
Personne	P138	C746	Beyrie, Île d'Oléron
Personne	P287	C2266	La Rochelle
Personne	P320	C2398	
Personne	P431	C2679	
Personne	P437	C2687	La Rochelle
Personne	P437	C2688	Saint-Sulpice
Personne	P540	C2864	Montendre
Personne	P1659	C5941	La Rochelle
Personne	P704	C3415	Îles
Personne	P704	C3417	
Personne	P704	C3417	
Personne	P704	C3418	
Personne	P704	C3419	
Personne	P704	C3420	
Personne	P704	C3416	
Personne	P794	C3671	Nouvelles
Personne	P794	C3670	
Personne	P811	N1897	
Personne	P811	N1898	
Personne	P811	C3707	la Havane
Personne	P811	C3708	France
Personne	P811	C3705	
Personne	P811	C3706	Saint-Jean-de-Luz
Personne	P924	C4044	
Personne	P924	C4043	Grand Prévôt de la Rochelle
Personne	P932	C4058	Marennes
Personne	P936	C4073	
Personne	P936	C4086	Île d'Aix
Personne	P936	C4067	
Personne	P936	C4087	
Personne	P936	C4074	la Havane, Pontchartrain
Personne	P936	C4076	Egrefin
Personne	P936	C4075	
Personne	P936	C4081	
Personne	P936	C4078	Rochefort
Personne	P936	C4070	Plaisance, Saint-Domingue
Personne	P936	C4069	
Personne	P936	C4068	Cap Français
Personne	P936	C4071	
Personne	P936	C4072	
Personne	P936	C4085	Charente
Personne	P936	C4077	La Pallice
Personne	P936	C4084	
Personne	P936	C4080	Chameau
Personne	P936	C4082	
Personne	P936	C4083	Espagne
Personne	P936	C4079	
Personne	P944	C4098	Marans
Personne	P944	C4106	
Personne	P944	C4105	La Rochelle
Personne	P944	C4102	
Personne	P944	C4101	
Personne	P944	C4100	La Rochelle, Flandre, Saint Domingue
Personne	P944	C4103	
Personne	P944	C4107	
Personne	P944	C4108	
Personne	P944	C4104	
Personne	P944	C4099	Triton
Personne	P945	C4109	La Rochelle
Personne	P945	C4110	
Personne	P995	C4210	Brouage
Personne	P995	C4209	Île de Ré.
Personne	P995	C4208	Rochefort
Personne	P995	C4211	Ré
Personne	P1023	C4280	Orléanais
Personne	P1146	C4555	La Rochelle
Personne	P1174	C4677	
Personne	P1200	C4758	Gémozac, Saintonge
Personne	P1200	C4759	Gémozac, Torcy
Personne	P1232	N2741	
Personne	P1234	C4861	La Tremblade
Personne	P1234	C4836	
Personne	P1234	C4837	
Personne	P1234	C4849	Guadeloupe
Personne	P1234	N2743	
Personne	P1234	C4835	Canada, Rochefort
Personne	P1234	C4853	
Personne	P1234	C4853	
Personne	P1234	C4855	
Personne	P1234	C4847	Vénus
Personne	P1234	C4831	île de Ré, Seudre, Charente
Personne	P1234	C4858	
Personne	P1234	C4858	
Personne	P1234	C4842	Vénus
Personne	P1234	C4857	Vénus
Personne	P1234	C4848	
Personne	P1234	C4834	
Personne	P1234	C4839	ile Royale
Personne	P1234	C4846	
Personne	P1234	C4841	
Personne	P1234	C4832	Gablerats
Personne	P1234	C4838	île Royale
Personne	P1234	C4845	Bordeaux, Blaye, Bordeaux, Bordeaux, La Rochelle, Rochefort
Personne	P1234	C4862	
Personne	P1234	C4850	
Personne	P1234	C4833	Gablerats
Personne	P1234	C4851	Montastruc
Personne	P1234	C4840	forêt de Montastruc
Personne	P1234	C4856	Verdon
Personne	P1234	C4854	Châtelet, Billy
Personne	P1234	C4852	Montastruc
Personne	P1234	C4852	Montastruc
Personne	P1234	C4859	Tour de Cordouan
Personne	P1234	C4860	Tour de Cordouan
Personne	P1234	C4843	Bordeaux
Personne	P1234	C4844	Bordeaux
Personne	P1234	N2749	
Personne	P1375	C5176	Saintes
Personne	P1442	C5360	
Personne	P1496	C5509	La Rochelle
Personne	P1559	C5644	La Rochelle
Personne	P1559	C5641	Senlis
Personne	P1559	C5642	Senlis
Personne	P1559	C5642	Senlis
Personne	P1559	C5643	Senlis
Personne	P1559	C5640	Cousteuil
Personne	P1559	C5638	Paris, A
Personne	P1559	C5639	
Personne	P1572	C5660	La Rochelle
Personne	P1570	C5658	Saintes
Personne	P1736	C6317	Sainte-Radégonde du Plomb
Personne	P1736	C6316	
Personne	P1756	C6362	
Personne	P1771	C6387	
Personne	P1780	C6396	Saintes
Personne	P1792	C6495	La Rochelle, Nieuport
Personne	P1792	C6496	Eléphant, Acadie
Personne	P1792	C6494	
Personne	P1792	C6493	La Rochelle, Nantes
Personne	P1899	C6696	Saint-Germain-Beaupré
Personne	P1958	C6832	
Personne	P1958	C6831	Pons
Personne	P2155	C7598	Brouage
Personne	P2155	C7598	Brouage
Personne	P2162	C7608	
Personne	P2350	C8041	Rouen
Personne	P2350	C8042	Montréal, Chameau
Personne	P2350	C8037	Canada
Personne	P2350	C8038	Canada
Personne	P2350	C8039	Canada
Personne	P2350	C8040	Tilly, Chameau
Personne	P2399	N5094	
Personne	P2490	C8875	Saint-Fort
Personne	P2776	C10316	Saint-Pierre d'Oléron
Personne	P2839	C10515	
Personne	P2839	C10525	
Personne	P2839	C10524	Triton, Bayonne, Surgères
Personne	P2839	C10523	Rochefort, Triton
Personne	P2839	C10519	Île d'Oléron
Personne	P2839	C10516	La Rochelle, Brest
Personne	P2839	C10510	Île d'Oléron
Personne	P2839	C10518	Cognac
Personne	P2839	C10521	
Personne	P2839	C10526	
Personne	P2839	C10517	Toulon
Personne	P2839	C10522	Cévennes
Personne	P2839	C10520	Cognac
Personne	P2839	C10513	
Personne	P2839	C10527	
Personne	P2839	C10514	Poitou
Personne	P2839	C10512	
Personne	P2839	C10511	Fouras
Personne	P2839	C10511	Fouras
Personne	P2876	C10668	
Personne	P2940	N6434	
Personne	P2940	C10802	Cayenne, Saint-Christophe, Léogane, Cap
Personne	P2951	C10827	Saintonge, Beauchamps
Personne	P2951	C10824	Douet
Personne	P2951	C10825	
Personne	P2951	C10826	
Personne	P3003	C10996	Saintes
Personne	P3032	C11043	Saintes
Personne	P3032	C11042	
Personne	P3041	C11076	Dampierre
Personne	P3062	C11109	
Personne	P3075	C11128	Bégon, Douet
Personne	P3075	C11136	
Personne	P3075	C11139	
Personne	P3075	C11138	Saintonge
Personne	P3075	C11135	
Personne	P3075	C11130	
Personne	P3075	C11132	
Personne	P3075	C11131	Montendre
Personne	P3075	C11144	Saintes
Personne	P3075	C11133	Saintonge
Personne	P3075	C11140	
Personne	P3075	C11129	
Personne	P3075	C11137	Aubeteterre
Personne	P3075	C11141	
Personne	P3075	C11143	Saintes
Personne	P3075	C11142	
Personne	P3075	C11134	
Personne	P3100	N6759	
Personne	P3100	C11302	Profond, Saint-Domingue
Personne	P3122	C11349	
Personne	P3167	C11438	La Rochelle
Personne	P3183	C11479	
Personne	P3404	C12166	Saint-Nicolas, La Rochelle
Personne	P3444	C12387	La Rochelle
Personne	P3444	C12388	La Rochelle
Personne	P3444	C12389	La Rochelle
Personne	P3444	C12389	La Rochelle
Personne	P3444	C12390	
Personne	P3478	C12452	
Personne	P3545	C12730	
Personne	P3567	N7808	
Personne	P3567	C12809	Acadie
Personne	P3567	C12805	Acadie
Personne	P3567	C12810	
Personne	P3567	C12808	
Personne	P3567	C12807	
Personne	P3567	C12812	
Personne	P3567	C12813	Acadie
Personne	P3567	C12814	Acadie
Personne	P3567	C12811	Paris
Personne	P3567	C12803	Rochefort
Personne	P3567	C12806	Acadie
Personne	P3567	C12804	Acadie
Personne	P3682	C13251	Pologne, Aunis, Saintonge
Personne	P3716	C13346	
Personne	P3716	C13347	La Rochelle
Personne	P3716	C13344	La Rochelle
Personne	P3716	C13345	Canada
Personne	P3733	C13396	Rochefort
Personne	P3733	C13397	
Personne	P3733	C13398	
Personne	P3733	C13399	
Personne	P3733	C13399	
Personne	P3733	C13395	
Personne	P3751	C13438	Beauce
Personne	P3789	C13517	
Personne	P3789	C13518	
Personne	P3797	C13561	
Personne	P3797	C13564	
Personne	P3797	C13564	
Personne	P3797	C13560	Canada
Personne	P3797	C13563	Arvert
Personne	P3797	C13562	Cayenne
Personne	P3978	C14131	
Personne	P3978	C14132	
Personne	P3978	C14133	
Personne	P4052	C14465	
Personne	P4052	C14466	
Personne	P4078	C15029	prieuré du Plomb
Personne	P4132	C15190	Jarnac
Personne	P4156	C15258	
Personne	P4472	C16654	Cayenne, Lavrillière
Personne	P4181	C15344	France
Personne	P4181	C15346	
Personne	P4181	C15348	
Personne	P4181	C15345	Toulon, Rochefort
Personne	P4181	C15347	
Personne	P4182	N9561	
Personne	P4182	C15352	
Personne	P4182	C15353	Rochefort
Personne	P4182	C15349	Bordeaux, La Rochelle, Bayonne
Personne	P4182	C15350	
Personne	P4182	C15351	
Personne	P4182	C15351	
Personne	P4264	C15880	Languedoc
Personne	P4264	C15878	Rochefort, Béziers
Personne	P4264	C15881	
Personne	P4264	C15883	Rochefort
Personne	P4264	C15882	
Personne	P4264	C15879	Rochefort
Personne	P4281	C16003	
Personne	P4281	C16004	
Personne	P4281	C16000	
Personne	P4281	C16000	
Personne	P4281	C15995	Espagne
Personne	P4281	C15997	
Personne	P4281	C15998	
Personne	P4281	C15999	
Personne	P4281	C16001	Lisbonne
Personne	P4281	C16002	Rochefort
Personne	P4281	C15996	
Personne	P4288	C16024	La Rochelle
Personne	P4303	C16059	Saintes
Personne	P4335	C16182	Douet
Personne	P4397	C16352	
Personne	P4458	C16596	Tonnay-Charente
Personne	P4444	C16581	La Rochelle
Personne	P4444	C16580	
Personne	P4512	C16805	
Personne	P4512	C16804	Portugal
Personne	P4520	C16825	Burie, Saint-Jean d'Angély
Personne	P4522	C16827	Olheuse
Personne	P4577	C17042	
Personne	P4615	C17232	Porto-Rico, Rochefort
Personne	P4615	C17234	
Personne	P4615	C17235	
Personne	P4615	C17236	
Personne	P4615	C17233	
Personne	P4615	C17233	
Personne	P4733	C17484	La Rochelle
Personne	P4782	C17638	
Personne	P4861	C17970	
Personne	P4861	C17972	Portefaix
Personne	P4861	C17977	Portefaix
Personne	P4861	C17973	Paris, Rochefort
Personne	P4861	C17976	
Personne	P4861	C17971	
Personne	P4861	C17975	
Personne	P4861	C17974	
Personne	P4871	C18001	
Personne	P4873	C18003	La Rochelle
Personne	P4998	C18254	Sables-d'Olonne
Personne	P4998	C18253	
Personne	P4998	C18253	
Personne	P5087	C18453	Tonnay-Charente
Personne	P5080	C18443	La Rochelle
Personne	P5094	C18461	Saintes
Personne	P5094	C18460	
Personne	P5094	C18459	Saintes
Personne	P5096	C18464	
Personne	P5096	C18463	Toulon, Brouage
Personne	P5096	C18465	Languedoc
Personne	P5170	C18621	La Rochelle, Cognac
Personne	P5171	C18622	
Personne	P5172	C18623	
Personne	P5177	C18662	La Rochelle
Personne	P5183	C18671	Saintonge
Personne	P5275	C18863	
Personne	P5275	C18864	La Rochelle
Personne	P5374	C19176	Tonnay-Charente
Personne	P5378	C19184	Cognac
Personne	P5427	C19814	Saintes
Personne	P5427	C19815	
Personne	P5452	C19872	Paris, La Rochelle
Personne	P5586	C20265	
Personne	P5630	C20702	
Personne	P5693	C21037	
Personne	P5740	C21382	France, Açores, Portugal
Personne	P5758	C21421	Îlde d'Oléron
Personne	P5762	C21429	La Rochelle
Personne	P5762	C21430	Île de Ré. Refusé
Personne	P5762	C21430	Île de Ré. Refusé
Personne	P5823	C21573	La Rochelle
Personne	P5829	C21587	
Personne	P5829	C21587	
Personne	P5829	C21588	
Personne	P5901	C21741	
Personne	P5901	C21740	
Personne	P5912	C21764	
Personne	P5978	C21981	La Rochelle
Personne	P6135	C22461	
Personne	P6296	C22814	département de Toulon, Rochefort
Personne	P6296	C22816	
Personne	P6296	C22815	
Personne	P6428	C23129	Lisbonne, Brest, Rochefort
Personne	P6503	C23354	Acadie
Personne	P6503	C23355	Acadie
Personne	P6503	C23356	Canada
Personne	P6590	C23550	Assinie
Personne	P6590	C23551	
Personne	P6604	C23574	Oléron
Personne	P6606	C23577	
Personne	P6606	C23576	Bégon, Cayenne
Personne	P6661	C24002	
Personne	P6661	C24003	
Personne	P6661	C24004	
Personne	P6661	N15299	
Personne	P6661	C24005	Canada
Personne	P6734	C24185	La Rochelle
Personne	P6865	C24508	Orléanais
Personne	P6865	C24510	Rochefort
Personne	P6865	C24509	Ludlow, Cayenne, Conditions
Personne	P6865	C24515	
Personne	P6865	C24515	
Personne	P6865	C24515	
Personne	P6865	C24515	
Personne	P6865	C24516	
Personne	P6865	N15685	
Personne	P6865	C24507	Saint-Domingue
Personne	P6865	C24511	
Personne	P6865	C24514	Cayenne
Personne	P6865	C24513	
Personne	P6865	C24517	
Personne	P6865	C24512	Chassiron
Personne	P6911	C25355	La Rochelle, Paris
Personne	P6986	C25634	Bordeaux
Personne	P6986	C25625	Rochefort
Personne	P6986	C25635	Agen
Personne	P6986	C25621	Bordeaux, Rochefort, Saintonge
Personne	P6986	C25647	Rochefort
Personne	P6986	C25666	Rochefort
Personne	P6986	C25657	Bordeaux
Personne	P6986	C25661	
Personne	P6986	C25646	
Personne	P6986	C25662	
Personne	P6986	C25640	Vigo
Personne	P6986	C25641	Vigo
Personne	P6986	C25669	Bordeaux
Personne	P6986	C25643	Rochefort
Personne	P6986	C25665	
Personne	P6986	C25637	La Rochelle
Personne	P6986	C25629	
Personne	P6986	C25636	Rotterdam, Bordeaux, Bellisle
Personne	P6986	C25644	Blaye
Personne	P6986	C25654	
Personne	P6986	C25622	
Personne	P6986	C25656	Bordeaux
Personne	P6986	C25664	Bordeaux
Personne	P6986	C25663	Pyrénées, Bordeaux, Rochefort
Personne	P6986	C25645	
Personne	P6986	C25628	Bordeaux
Personne	P6986	C25630	Bayonne, Rochefort
Personne	P6986	N16430	
Personne	P6986	C25623	Caupenne
Personne	P6986	C25623	Caupenne
Personne	P6986	C25624	Caupenne
Personne	P6986	C25633	Bordeaux
Personne	P6986	C25667	
Personne	P6986	C25668	
Personne	P6986	C25651	Lande, Bordeaux
Personne	P6986	C25651	Lande, Bordeaux
Personne	P6986	C25652	Lande, Bordeaux
Personne	P6986	C25653	Lande, Bordeaux
Personne	P6986	C25655	Inspecteur de la Marine, Bordeaux
Personne	P6986	C25655	Inspecteur de la Marine, Bordeaux
Personne	P6986	C25655	Inspecteur de la Marine, Bordeaux
Personne	P6986	C25660	
Personne	P6986	C25638	Royan
Personne	P6986	C25638	Royan
Personne	P6986	C25639	Royan
Personne	P6986	C25658	
Personne	P6986	C25658	
Personne	P6986	C25659	
Personne	P6986	C25627	Aix, Alicante
Personne	P6986	C25627	Aix, Alicante
Personne	P6986	C25631	Commissaire de la Marine, Bordeaux, ile Royale
Personne	P6986	C25632	Commissaire de la Marine, Bordeaux, ile Royale
Personne	P6986	C25650	Auvergne
Personne	P6986	C25648	
Personne	P6986	C25649	
Personne	P6986	C25626	A
Personne	P6986	C25642	
Personne	P6989	C25686	Turbilly
Personne	P7036	C25793	
Personne	P7036	C25795	Faucon
Personne	P7036	C25794	
Personne	P7039	C25800	
Personne	P7039	C25801	Château-Trompette
Personne	P7039	C25807	
Personne	P7039	C25809	Château-Trompette
Personne	P7039	C25808	
Personne	P7039	C25810	
Personne	P7039	C25802	Marennes
Personne	P7039	C25806	
Personne	P7039	C25805	
Personne	P7039	C25799	
Personne	P7039	C25803	Saint-Palais
Personne	P7039	C25804	Château-Trompette
Personne	P7039	C25812	Saint Palais
Personne	P7039	C25812	Saint Palais
Personne	P7039	C25811	
Personne	P7116	C26063	Rochefort
Personne	P7116	C26062	Île de Ré, Provence
Personne	P7116	C26065	Escoyeux
Personne	P7116	C26066	
Personne	P7116	C26064	Canada
Personne	P7116	N16737	
Personne	P7116	C26067	
Personne	P7157	C26178	Martinique, Martinique
Personne	P7157	C26181	
Personne	P7157	C26179	Îles
Personne	P7157	C26177	
Personne	P7157	C26180	France
Personne	P7157	C26176	
Personne	P7173	C26283	Tonnay-Charente
Personne	P7191	N16887	
Personne	P7350	C26775	Taillebourg
Personne	P7350	C26773	
Personne	P7350	C26772	Saint-Domingue
Personne	P7350	C26774	Saint-Domingue
Personne	P7554	C27455	Gémozac
Personne	P7566	C27482	
Personne	P7591	C27518	
Personne	P7648	C27693	Portugal
Personne	P7648	C27694	Lisbonne, Flandre
Personne	P7736	C27989	
Personne	P7748	C28047	Chanclore, Saintes
Personne	P7821	C28182	
Personne	P7926	C28419	Saint-Jean d'Angély
Personne	P7964	C28550	
Personne	P7977	C28568	
Personne	P8113	C29036	
Personne	P8113	C29035	
Personne	P8140	C29093	Orléanais
Personne	P8314	C30211	Portugal
Personne	P8407	C30531	Orléanais
Personne	P8419	C30553	Frésines, Tonnay-Charente
Personne	P8508	C30757	
Personne	P8508	C30758	Cognac
Personne	P8517	C30789	
Personne	P8517	C30790	
Personne	P8517	C30791	
Personne	P8517	C30792	
Personne	P8560	C30913	la Rochelle
Personne	P8566	C30927	
Personne	P8566	C30928	
Personne	P8728	C31429	Mauzé, Aunis
Personne	P8728	C31428	
Personne	P8728	C31427	
Personne	P8728	C31430	
Personne	P8771	C31637	
Personne	P8798	N20363	
Personne	P8867	C32187	
Personne	P8926	C32356	Alger
Personne	P8926	C32357	Alger
Personne	P8926	C32344	Marennes
Personne	P8926	C32349	
Personne	P8926	C32341	
Personne	P8926	C32342	
Personne	P8926	C32343	Terre-Neuve
Personne	P8926	C32331	
Personne	P8926	C32339	Marennes, Dolus
Personne	P8926	C32372	
Personne	P8926	C32359	
Personne	P8926	C32336	Marennes
Personne	P8926	C32337	Marennes
Personne	P8926	C32355	Cardaillac
Personne	P8926	C32335	
Personne	P8926	C32358	
Personne	P8926	C32368	
Personne	P8926	C32369	
Personne	P8926	C32369	
Personne	P8926	C32338	Marennes
Personne	P8926	C32360	La Tremblade
Personne	P8926	C32366	Marennes
Personne	P8926	C32350	
Personne	P8926	C32354	
Personne	P8926	C32361	Royan
Personne	P8926	C32364	
Personne	P8926	C32351	
Personne	P8926	C32333	
Personne	P8926	C32345	
Personne	P8926	C32346	
Personne	P8926	C32347	
Personne	P8926	C32347	
Personne	P8926	C32365	
Personne	P8926	C32352	
Personne	P8926	C32340	Marennes
Personne	P8926	C32348	
Personne	P8926	C32362	
Personne	P8926	C32367	
Personne	P8926	C32367	
Personne	P8926	C32370	Marennes
Personne	P8926	C32353	
Personne	P8926	C32332	
Personne	P8926	C32371	
Personne	P8926	C32334	
Personne	P8926	C32363	
Personne	P8926	C32363	
Personne	P8980	C32538	
Personne	P9000	C32625	prieuré du Plomb
Personne	P9000	C32619	Canada
Personne	P9000	C32620	Canada
Personne	P9000	C32624	La Rochelle
Personne	P9000	C32628	
Personne	P9000	C32615	Québec
Personne	P9000	C32610	
Personne	P9000	C32611	
Personne	P9000	C32612	
Personne	P9000	C32613	
Personne	P9000	N20824	
Personne	P9000	C32623	
Personne	P9000	C32626	
Personne	P9000	C32626	
Personne	P9000	C32627	
Personne	P9000	C32627	
Personne	P9000	N20823	
Personne	P9000	N20826	
Personne	P9000	C32621	Cayenne
Personne	P9000	C32622	Cayenne
Personne	P9000	C32618	Cayenne
Personne	P9000	C32614	
Personne	P9000	C32617	Saint-Domingue
Personne	P9000	C32616	
Personne	P9000	N20822	
Personne	P9313	C33746	Bégon
Personne	P9313	C33748	
Personne	P9313	C33747	
Personne	P9484	C34499	
Personne	P9484	C34500	
Personne	P9484	C34507	
Personne	P9484	C34501	Port-Louis, Bordeaux, Lorient, Brest
Personne	P9484	C34496	Bellisle
Personne	P9484	C34503	Bordeaux, Espagne, Passage ceux de Bayonne
Personne	P9484	C34505	
Personne	P9484	C34504	Espagne
Personne	P9484	C34509	
Personne	P9484	N21936	
Personne	P9484	C34511	Saint-André, Hâvre, Bermudes
Personne	P9484	C34512	Saint-André, Hâvre, Bermudes
Personne	P9484	C34502	
Personne	P9484	C34506	Saint-Jean-d'Angély
Personne	P9484	C34510	
Personne	P9484	C34508	
Personne	P9484	C34497	
Personne	P9484	C34498	
Personne	P9565	C35081	
Personne	P9565	C35084	
Personne	P9565	C35077	
Personne	P9565	C35077	
Personne	P9565	C35078	
Personne	P9565	C35079	
Personne	P9565	C35086	Canada
Personne	P9565	C35076	
Personne	P9565	C35080	Oléron
Personne	P9565	C35083	
Personne	P9565	C35085	
Personne	P9565	C35082	Canada
Personne	P9645	C35452	
Personne	P9677	C35583	Marennes
Personne	P9694	C35621	Bégon
Personne	P9694	C35623	
Personne	P9694	C35620	Saint-Jean-de-Luz
Personne	P9694	C35624	
Personne	P9694	C35622	
Personne	P9804	C35878	La Rochelle
Personne	P9926	C36247	
Personne	P9926	C36245	l'Amérique
Personne	P9926	C36246	
Personne	P10043	C36602	
Personne	P10055	C36624	
Personne	P10057	C36628	Marans
Personne	P10057	C36629	
Personne	P10127	C36822	La Rochelle
Personne	P10127	C36823	
Personne	P10129	C36827	
Personne	P10100	C36722	Rochefort
Personne	P10100	C36708	
Personne	P10100	C36725	Procureur du Roi de la Prévôté
Personne	P10100	C36719	
Personne	P10100	C36720	
Personne	P10100	C36715	
Personne	P10100	C36729	
Personne	P10100	C36726	Sa
Personne	P10100	C36727	Sa
Personne	P10100	N23388	
Personne	P10100	C36711	
Personne	P10100	C36709	
Personne	P10100	C36707	
Personne	P10100	C36723	
Personne	P10100	C36718	
Personne	P10100	C36712	Versailles, Rochefort
Personne	P10100	C36721	
Personne	P10100	C36706	Marennes, Charente, Rochefort, Saintes
Personne	P10100	C36724	Touvre, Magnac, Ruelle, Rofpi, Saintes
Personne	P10100	C36728	Poitou, département de Bretagne
Personne	P10100	C36713	Poitou
Personne	P10100	C36716	Bretagne
Personne	P10100	C36717	Bretagne
Personne	P10100	C36714	Royan
Personne	P10100	C36714	Royan
Personne	P10100	C36710	
Personne	P10151	C36913	
Personne	P10151	C36914	
Personne	P10324	C37652	
Personne	P10324	C37683	
Personne	P10324	C37673	Marennes
Personne	P10324	C37658	Dunkerque
Personne	P10324	C37651	Brouage, Nantes
Personne	P10324	C37665	
Personne	P10324	C37653	Rochefort
Personne	P10324	C37681	
Personne	P10324	C37661	Rochefort
Personne	P10324	C37662	Rochefort
Personne	P10324	C37672	Saint-François
Personne	P10324	C37672	Saint-François
Personne	P10324	C37679	
Personne	P10324	C37659	
Personne	P10324	C37674	
Personne	P10324	C37676	Marseille
Personne	P10324	C37677	Toulon
Personne	P10324	C37678	
Personne	P10324	C37654	
Personne	P10324	C37663	
Personne	P10324	C37669	
Personne	P10324	C37671	
Personne	P10324	C37670	Riga
Personne	P10324	C37680	
Personne	P10324	C37682	
Personne	P10324	C37660	
Personne	P10324	C37657	Toulon, Riga, Rochefort, Toulon
Personne	P10324	C37667	
Personne	P10324	C37675	
Personne	P10324	C37655	Rochefort
Personne	P10324	C37656	Rochefort
Personne	P10324	C37666	
Personne	P10324	C37668	Pontaniou
Personne	P10324	C37664	
Personne	P10342	C37736	Hollandais, La Rochelle
Personne	P10342	C37737	
Personne	P10352	N23941	
Personne	P10414	C37937	Tonnay-Charente
Personne	P10437	C38010	Taillebourg, Taillebourg
Personne	P10442	C38015	Poitou, Îles de Ré, Oléron
Personne	P10447	C38028	Hainaut
Personne	P10681	C38753	La Rochelle
Personne	P10564	C38386	
Personne	P10593	C38448	La Rochelle
Personne	P10593	C38448	La Rochelle
Personne	P10593	C38446	
Personne	P10593	C38453	Saintes
Personne	P10593	C38452	
Personne	P10593	C38454	Mauzé
Personne	P10593	C38456	
Personne	P10593	C38455	Rochefort
Personne	P10593	C38451	Rochefort, Brest
Personne	P10593	C38450	Espagne
Personne	P10593	C38447	Rochefort
Personne	P10593	C38449	Toulon
Personne	P10593	N24451	
Personne	P10640	C38598	Douet
Personne	P10689	C38764	Hollandais
Personne	P10689	C38763	
Personne	P10696	C38784	Laleur, Chastellières, prieuré du Plomb, Laleur, prieuré du Plomb
Personne	P10696	C38785	prieuré du Plomb
Personne	P10699	C38788	Olbreuse
Personne	P28	C301	Jersey, La Rochelle
Personne	P28	C300	Rancogne
Personne	P32	C311	
Personne	P32	C306	Providence
Personne	P32	C306	Providence
Personne	P32	C307	Providence
Personne	P32	C308	Providence
Personne	P32	C304	Marennes
Personne	P32	C310	Amirauté, La Rochelle
Personne	P32	C309	La Tremblade, Toulon
Personne	P32	C305	Charente
Personne	P32	C305	Charente
Personne	P97	C569	Rochefort, Flandre
Personne	P183	C1969	Canada
Personne	P246	C2178	Île d'Aix
Personne	P336	C2425	
Personne	P336	C2426	Loire
Personne	P336	C2426	Loire
Personne	P417	C2585	Palmier
Personne	P502	N1249	
Personne	P502	N1249	
Personne	P502	N1250	
Personne	P517	C2821	
Personne	P517	C2822	
Personne	P517	C2823	
