function	ID	cID	geogname
Personne	P3305	C11881	
Personne	P3348	C12029	
Personne	P3538	N7741	
Personne	P3699	C13291	
Personne	P3699	C13292	
Personne	P3699	C13293	
Personne	P3740	C13419	Rochefort, Pyrénées, Pyrénées, Rochefort
Personne	P3915	C13946	
Personne	P4375	N10087	
Personne	P4375	C16303	
Personne	P4375	N10083	
Personne	P4375	C16302	Porte royale, La Rochelle
Personne	P4375	C16301	Tonnay-Charente
Personne	P4375	C16305	
Personne	P4375	C16304	Saint-Nazaire
Personne	P4480	C16706	Lisbonne
Personne	P4480	C16707	Lisbonne
Personne	P4480	C16708	Château Trompette
Personne	P4480	C16712	
Personne	P4480	C16709	Rochefort
Personne	P4480	C16710	
Personne	P4480	C16711	
Personne	P4490	C16730	Rochefort, Cygne Blanc
Personne	P4490	C16743	Chateaurenault
Personne	P4490	C16732	
Personne	P4490	C16731	Brest
Personne	P4490	C16737	
Personne	P4490	C16735	
Personne	P4490	C16740	île de Ré.
Personne	P4490	C16741	île de Ré.
Personne	P4490	C16736	
Personne	P4490	C16734	
Personne	P4490	C16729	
Personne	P4490	C16733	
Personne	P4490	C16738	
Personne	P4490	C16739	
Personne	P4490	C16744	
Personne	P4490	C16745	
Personne	P4490	C16742	
Personne	P4490	C16742	
Personne	P4553	C16968	La Rochelle
Personne	P4553	C16966	Fournira
Personne	P4553	C16967	
Personne	P4553	C16970	
Personne	P4553	C16971	
Personne	P4553	C16972	
Personne	P4553	C16974	
Personne	P4553	C16975	
Personne	P4553	C16965	
Personne	P4553	C16973	
Personne	P4553	C16978	Cayenne
Personne	P4553	C16976	Cayenne
Personne	P4553	C16977	Cayenne
Personne	P4553	C16969	Charente, Guadeloupe
Personne	P4853	N11144	
Personne	P4853	C17958	
Personne	P4853	C17948	La Rochelle
Personne	P4853	C17957	
Personne	P4853	C17947	Brest, Toulon
Personne	P4853	C17953	Chameau
Personne	P4853	C17949	
Personne	P4853	C17951	Rochefort
Personne	P4853	C17952	Brest, Rochefort
Personne	P4853	C17950	Cayenne, Charonville
Personne	P4853	C17954	
Personne	P4853	C17955	Brest
Personne	P4853	C17956	Brest
Personne	P4853	C17946	Rochefort
Personne	P4877	C18006	La Rochelle, Havre, Rochefort, Charente
Personne	P4877	C18009	Havre
Personne	P4877	C18008	
Personne	P4877	C18007	Havre
Personne	P5121	C18503	
Personne	P5121	C18507	Saintes
Personne	P5121	C18508	
Personne	P5121	C18504	
Personne	P5121	C18509	
Personne	P5121	C18505	
Personne	P5121	C18506	
Personne	P5121	C18510	
Personne	P5673	C20952	Amérique, Thionville, Trinquemalé, Ceylan, La Haye, San-Thomé, cote de Coromandel
Personne	P5741	C21383	Terceire, Boisneau
Personne	P5856	C21640	La Clocheterie, Plassay, Indes, Madagascar, l'Amérique, La Rochelle, Saint-Paul, Estrées, Rochefort, Faucon, Bordeaux
Personne	P5856	C21641	La Clocheterie, Plassay, Indes, Madagascar, l'Amérique, La Rochelle, Saint-Paul, Estrées, Rochefort, Faucon, Bordeaux
Personne	P6393	C23061	
Personne	P6494	C23341	manufacture du Nivernais, Dauphiné, Bourgogne, Paris
Personne	P6885	C25313	
Personne	P6987	C25673	Commissaire de la Marine, Bordeaux, Guyenne
Personne	P6987	C25674	Commissaire de la Marine, Bordeaux, Guyenne
Personne	P6987	C25675	Commissaire de la Marine, Bordeaux, Guyenne
Personne	P6987	C25676	Commissaire de la Marine, Bordeaux, Guyenne
Personne	P6987	C25679	
Personne	P6987	C25680	
Personne	P6987	C25677	Bordeaux
Personne	P6987	C25672	Bordeaux, La Brouste
Personne	P6987	C25670	Amérique, La Rochelle
Personne	P6987	C25671	Amérique, La Rochelle
Personne	P6987	C25678	
Personne	P6987	C25683	Gironde
Personne	P6987	C25683	Gironde
Personne	P6987	C25681	
Personne	P6987	C25682	
Personne	P7170	C26275	A, Dombes
Personne	P7513	C27340	
Personne	P7513	C27345	Landouilette, Planchemusnier
Personne	P7513	C27346	Landouilette, Planchemusnier
Personne	P7513	C27347	Rochefort
Personne	P7513	C27348	Rochefort
Personne	P7513	C27349	Rochefort
Personne	P7513	C27350	Rochefort
Personne	P7513	C27341	Rochefort
Personne	P7513	C27342	Rochefort
Personne	P7513	C27343	Lorient
Personne	P7513	C27343	Lorient
Personne	P7513	C27344	Lorient
Personne	P7513	C27351	
Personne	P7887	C28348	
Personne	P7888	C28349	Faucon, île Terceire
Personne	P8396	C30508	Rochefort, Marine, Dunkerque, Canada
Personne	P8396	C30509	Dunkerque
Personne	P8396	C30510	Dunkerque
Personne	P8396	C30506	
Personne	P8396	N19499	
Personne	P8396	C30511	
Personne	P8396	C30507	La Rochelle, la Corogne
Personne	P9966	N23139	
Personne	P9966	C36368	Brest
Personne	P9848	C35966	Rochefort
Personne	P9848	C35967	Rochefort
Personne	P9848	C35968	Rochefort
Personne	P9848	C35969	Rochefort
Personne	P9848	C35962	
Personne	P9848	C35970	Calais
Personne	P9848	C35972	Abbeville
Personne	P9848	C35965	Le Meyrat, Bourges
Personne	P9848	C35963	
Personne	P9848	C35973	
Personne	P9848	C35971	Calais, Rochefort
Personne	P9848	C35964	cathédrale d'Abbeville
Personne	P9999	C36486	Canada, Canada
Personne	P9999	C36487	Canada, Canada
Personne	P9999	C36488	Canada, Canada
Personne	P10477	C38097	
Personne	P10477	C38098	
Personne	P10477	C38099	
Personne	P10477	C38100	
Personne	P8227	C29223	Montfabien, Amirauté, Saintonge, Marennes
Personne	P1687	C6184	
Personne	P961	C4130	
Personne	P2699	N5943	
Personne	P3467	C12436	Rochefot, LA Tremblade
Personne	P3467	C12435	
Personne	P4098	C15083	Garnier
Personne	P4098	C15084	Paon
Personne	P4592	C17168	
Personne	P4592	C17166	Garnier
Personne	P4592	C17167	Rochefort
Personne	P4592	C17165	
Personne	P4592	C17169	Cayenne, Charente
Personne	P5954	C21914	
Personne	P6449	C23174	
Personne	P6552	C23497	
Personne	P6838	C24459	Marseille, Agen
Personne	P6840	C24461	forêt de Sault
Personne	P7018	C25754	Marseille
Personne	P7062	C25871	Marseille
Personne	P7278	C26489	
Personne	P7980	C28572	
Personne	P7980	C28573	
Personne	P8168	N18861	
