unittitle	function	ID
Lubert, Sieur de	Personne	P7087
Maintenon, M. de	Personne	P7203
Montségur, Sieur de	Personne	P7901
Nesmond, Marquis de	Personne	P8136
Notes, Yves Marie de la Bourdonnaye	Personne	P8237
Pellé	Personne	P8451
Pépin	Personne	P8875
Planta, Sieur de	Personne	P8681
Pointis, M. de	Personne	P8705
Pomereu, Sieur de	Personne	P8729
Racine	Personne	P8924
Renaut	Personne	P9073
Rigord	Personne	P9157
Roquette	Personne	P9283
Turmenyes, Sieur de	Personne	P10276
Vambeck	Personne	P10340
Alvarez	Personne	P73
Bailleul, Sieur de	Personne	P305
Bellefonds	Personne	P687
Bellisle Errard, Sieur de	Personne	P706
Bellisle, Sieur de	Personne	P709
Berthelot de Préneuf	Personne	P838
Bezons, Louis Bazin de	Personne	P893
Blénac, Sieur de	Personne	P1010
Blésac, de	Personne	P1014
Bonnaventure, M. de	Personne	P1141
Bordier	Personne	P1207
Boutineau	Personne	P1364
Brandebourg, M. de	Personne	P1419
Breüil, Sieur de	Personne	P1473
Buisson	Personne	P1608
Burgues, Sieur de	Personne	P1623
Carton	Personne	P1843
Cazeville	Personne	P1911
Charitte	Personne	P2067
Charrières, de	Personne	P2115
Charron de Salles, Le sieur de	Personne	P2117
Chaviteau	Personne	P2246
Coigné	Personne	P2458
Combes, Sieur de	Personne	P2482
Cordier	Personne	P2544
Courtin, Les sieurs	Personne	P2659
Coustan	Personne	P2672
Creil, de	Personne	P2707
Cromel	Personne	P2730
D'Aguerre	Personne	P2764
D'Ailly, Le chevalier	Personne	P2770
D'Aligre	Personne	P2777
D'Aulnay, Comte	Personne	P2820
D'Harbouville	Personne	P2858
Daubarède	Personne	P3012
Delafontaine	Personne	P3107
Delisle, Sieur de	Personne	P3146
Delorme	Personne	P3152
Desadrets, Le chevalier	Personne	P3207
Desfontaines	Personne	P3277
Digoine, Le chevalier de	Personne	P3415
Dimanche	Personne	P3418
Dubreuil	Personne	P3556
Dufay, Dixandun	Personne	P3637
Dugué	Personne	P3670
Dulignon	Personne	P3693
Dumagnou	Personne	P3700
Dumoutier	Personne	P3756
Duparc	Personne	P3765
Durivau Huet	Personne	P3897
Dutillet	Personne	P3935
Dutilleul	Personne	P3936
Duvignau (alias Duvigneau, Duvignaud)	Personne	P3969
Duville	Personne	P3975
Estienne, Jean	Personne	P4084
Ferville, M. de	Personne	P4202
Folville	Personne	P4268
Forestier	Personne	P4319
Frontenac, Le Comte de	Personne	P4449
Gabaret	Personne	P4478
Gallot	Personne	P4554
Gastines, Sieur de	Personne	P4627
Gennes, Sieur de	Personne	P4719
Germain	Personne	P4739
Girard	Personne	P4795
Girardeau	Personne	P4801
Gomot	Personne	P4889
Gouëton	Personne	P4955
Goulet	Personne	P4919
Gramont, Le Duc de	Personne	P4969
Grandchamp, L. F. de	Personne	P4975
Grenon	Personne	P5030
Guibaud	Personne	P5116
Guillon	Personne	P5162
Hocquart	Personne	P5337
Jeantet (alias Gentet)	Personne	P5489
Joly	Personne	P5510
Jonquet	Personne	P5521
Julien	Personne	P5582
Laborde	Personne	P5767
Labourdonnaye, M. de	Personne	P5788
Lacaffinière, M. de	Personne	P5815
Lagalissonnière, de	Personne	P5986
Lamartinière, M. de	Personne	P6138
Lamotte Michel, Sieur de	Personne	P6198
Languillet, Mathieu	Personne	P6259
Lapiquetière, M. de	Personne	P6297
Lapoterie, Sieur de	Personne	P6312
Laroquepersin, M. de	Personne	P6411
Lasalle Cuxac, Sieur de	Personne	P6441
Lavarenne, Marquis de	Personne	P6575
Lavauguyon, Comte de	Personne	P6583
Legras	Personne	P6725
Leroy	Personne	P6816
Lestrille, Sieur de	Personne	P6858
Levayer	Personne	P6887
Levy, Sieur de	Personne	P6896
Lille, Sieur de	Personne	P6930
Lilleau, Sieur de	Personne	P6933
Martin	Personne	P7416
Massiot	Personne	P7462
Masson	Personne	P7468
Maubec, Amable	Personne	P7504
Miramion, Sieur de	Personne	P7730
Miromesnil, Sieur de	Personne	P7735
Montbault, M. de	Personne	P7835
Montbron, Le Chavalier de	Personne	P7839
Mortagne, Sieur de	Personne	P7978
Neuilly, Sieur de	Personne	P8139
Payen	Personne	P8411
Perrinet, Sieur de	Personne	P8515
Persin, Sieur de	Personne	P8533
Petit	Personne	P8544
Phillipon	Personne	P8590
Prou	Personne	P8841
Raymondis, Sieur de	Personne	P9021
Rochefort	Personne	P9223
Rosier	Personne	P9285
Roussel, Sieur de	Personne	P9337
Saint-Mar, M. de	Personne	P9548
Saint-Pol, Sieur de	Personne	P9584
Saint-Simon, Duc de	Personne	P9596
Seignette	Personne	P9789
Serau, La Dame	Personne	P9809
Theus	Personne	P10079
Thuillier	Personne	P10124
Toscane	Personne	P10183
Tourouvre, Sieur de	Personne	P10208
Traverse	Personne	P10225
Valbelle, Le chevalier de	Personne	P10299
Vallemont, Sieur de	Personne	P10317
Vaubourg, de	Personne	P10391
Vaudricourt, Sieur de	Personne	P10411
Verdille, de	Personne	P10463
Villebon, de	Personne	P10559
Villette, M. de	Personne	P10589
Zacharie	Personne	P10697
Blanchard	Personne	P975
Blénac Roumegoux, Sieur de	Personne	P1006
Chavagnac, de	Personne	P2237
Conteneuil, Sieur de	Personne	P2521
Corlieu	Personne	P2549
Dandennes	Personne	P2946
Delacombe	Personne	P3094
Desaugiers, Le chevalier	Personne	P3218
Dupontmarois	Personne	P3824
Duport, Abraham et Etienne, frères	Personne	P3827
Duquesne	Personne	P3857
Duvivier, Veuve	Personne	P3982
Faucher	Personne	P4122
Laguinardière	Personne	P6041
Lalaurentie, Sieur de	Personne	P6094
Laporte, Marquis de	Personne	P6307
Montgeorge, M. de	Personne	P7854
Rhodon (alias Rodon)	Personne	P9112
Souge, Sieur de	Personne	P9912
Surgères, Le chevalier de	Personne	P9957
Thomas	Personne	P10108
Tilly, Sieur de	Personne	P10144
Touchimbert, Le chevalier de	Personne	P10187
Villette Mursay, Sieur de	Personne	P10588
Barbesieux, Louis-François-Marie Le Tellier	Personne	P367
Bouchet	Personne	P1240
Bressac, Madame de	Personne	P1454
Brisacier	Personne	P1498
Carré	Personne	P1835
Cartereau (alias Cartreau)	Personne	P1837
Chaulnes, M. de	Personne	P2199
Chenevois	Personne	P2263
Corbineau	Personne	P2539
Cordemoy, L'abbé de	Personne	P2542
Coulomb	Personne	P2593
D'Estrées, L'abbé	Personne	P2852
D'Eury	Personne	P2857
Deviliers	Personne	P3396
Dorné, Jean	Personne	P3466
Dubrouillant (alias Du Brouillam)	Personne	P3568
Duclerc	Personne	P3604
Duguay	Personne	P3664
Dumaits	Personne	P3705
Durand, veuve	Personne	P3878
Feuquières, Sieur de	Personne	P4210
Gabet	Personne	P4499
Hindret	Personne	P5335
Jamon	Personne	P5455
Janneau	Personne	P5460
Labrouste, Sieur de (alias La Broute)	Personne	P5807
Lagirardière, Sieur de	Personne	P6001
Lamagdeleine, Sieur de	Personne	P6109
Lamalmaison, Sieur de	Personne	P6122
Lanion, Le chevalier de	Personne	P6260
Loure	Personne	P7061
Lucan, Sieur de	Personne	P7089
Mallet	Personne	P7233
Manguy	Personne	P7268
Marèges, Sieur de	Personne	P7446
Mareuil, Sieur de	Personne	P7325
Masson, Mathurin	Personne	P7474
Mouchard	Personne	P8000
Nauger	Personne	P8109
Neveu	Personne	P8146
Noel	Personne	P8170
Nuaillé, Le Chevalier de	Personne	P8258
Polignac, Abbé de	Personne	P8721
Pradines, Le chevalier de	Personne	P8814
Rame, Veuve	Personne	P8957
Raymond	Personne	P9013
Robert	Personne	P9183
Roland	Personne	P9247
Rouvroy, Le chevalier de	Personne	P9352
Saint-Aulaire, de	Personne	P9490
Saint-Clair, Sieur de	Personne	P9498
Saint-Olon, Sieur de	Personne	P9568
Sainte-Marie, de	Personne	P9626
Tourville, Le Maréchal de	Personne	P10213
Vincens	Personne	P10617
Aldin, Jean (alias Alding)	Personne	P36
Babin, Elie	Personne	P281
Balan	Personne	P313
Béchet, les frères	Personne	P1654
Bernage, Sieur de	Personne	P781
Bigot	Personne	P909
Blainville	Personne	P971
Bochard, de Sarron	Personne	P1017
Brach	Personne	P1400
Bricard	Personne	P1484
Cardaillac, Le chevalier de	Personne	P1804
Chaillaud	Personne	P1954
Chaillé	Personne	P1957
Chaintreau	Personne	P1961
Chaix	Personne	P1962
